Organism	Sample Name	short	Run	Experiment	Age	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	dev_stage	Instrument	Isolate	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Platform	ReleaseDate	sex	SRA Study	Tissue	birth_location	Isolation_source	sub_species	BREED	Cultivar	Ecotype	STRAIN
Altolamprologus calvus	IOE2	altcal_IOE2	SRR9665659	SRX6426574	missing	WGS	252	10036599804	PRJNA550295	SAMN12123690	Model organism or animal	3817481115	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IOE2	IOE2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Altolamprologus calvus	IOE3	altcal_IOE3	SRR9665692	SRX6426541	missing	WGS	252	12153273300	PRJNA550295	SAMN12123691	Model organism or animal	4877614827	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IOE3	IOE3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Altolamprologus compressiceps	ISC9	altcom_ISC9	SRR9665642	SRX6426591	missing	WGS	252	11981414592	PRJNA550295	SAMN12123737	Model organism or animal	4618126614	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	ISC9	ISC9	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Altolamprologus compressiceps	ISB1	altcom_ISB1	SRR9665646	SRX6426587	missing	WGS	252	10613948436	PRJNA550295	SAMN12123733	Model organism or animal	4322750417	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	ISB1	ISB1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Altolamprologus sp. 'compressiceps shell' AB-2019	IRH4	altshe_IRH4	SRR9665632	SRX6426601	missing	WGS	252	7633982160	PRJNA550295	SAMN12123726	Model organism or animal	3125796666	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IRH4	IRH4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Altolamprologus sp. 'compressiceps shell' AB-2019	IRH2	altshe_IRH2	SRR9665633	SRX6426600	missing	WGS	252	7255125864	PRJNA550295	SAMN12123725	Model organism or animal	2742474858	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	IRH2	IRH2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Aulonocranus dewindti	AUA9	auldew_AUA9	SRR9657511	SRX6418750	missing	WGS	252	10127373732	PRJNA550295	SAMN12123586	Model organism or animal	3516843159	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	AUA9	AUA9	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Aulonocranus dewindti	AUA1	auldew_AUA1	SRR9657512	SRX6418749	missing	WGS	252	10347604344	PRJNA550295	SAMN12123585	Model organism or animal	3596468004	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	AUA1	AUA1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Baileychromis centropomoides	JAB7	baicen_JAB7	SRR9673998	SRX6434466	missing	WGS	252	9876991320	PRJNA550295	SAMN12123812	Model organism or animal	4018297027	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JAB7	JAB7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Baileychromis centropomoides	JAE9	baicen_JAE9	SRR9674002	SRX6434462	missing	WGS	252	14274646848	PRJNA550295	SAMN12123816	Model organism or animal	5779745046	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JAE9	JAE9	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
