,OT,VT,OTRa,OTRb.tr1,OTRb.tr2,OTRb.tr3,VTR1Aa.tr1,VTR1Aa.tr2,VTR1Ab,VTR2Aa,VTR2Ab.tr1,VTR2Ab.tr2,VTR2Ab.tr3,VTR2Ba,VTR2Bb.tr1,VTR2Bb.tr2
altcal_IOE2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
altcal_IOE3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
altcom_ISB1,0,0,0,0,0,0,0,0,0,0,17,17,17,0,1,0
altcom_ISC9,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0
altshe_IRH2,0,0,0,0,0,0,0,0,0,0,11,11,11,2,1,0
altshe_IRH4,0,0,0,0,0,0,0,0,15,0,8,8,8,0,49,49
arcstr_KAE8,0,0,0,72,72,0,10,10,13,0,14,14,14,0,1,0
asplep_INF1,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
asplep_INF2,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0
astbur_IZA1,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0
astfla_LJD2,0,0,0,0,0,0,0,0,0,0,11,11,11,0,7,6
astpal_KYG1,0,13,0,0,0,0,0,0,0,0,1,1,1,0,9,9
auldew_AUA1,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0
auldew_AUA9,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0
baicen_JAB7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
baicen_JAE9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
batfas_GPB2,0,0,0,0,0,0,3,0,45,15,0,0,0,0,0,0
batfas_ITH3,0,0,0,0,0,0,0,0,0,8,0,3,0,0,1,0
batfer_LCD6,0,0,0,0,0,0,18,18,0,8,0,3,0,0,1,0
batfer_LCD7,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0
batgra_ILG7,0,0,0,0,0,0,0,0,0,8,0,3,0,0,1,0
batgra_IUI8,0,0,0,0,0,0,0,0,0,7,0,3,0,0,1,0
bathor_JDE3,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0
bathor_JDE4,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0
batleo_ILF7,0,0,0,0,0,0,0,0,0,8,0,1,0,0,74,74
batmin_IXA5,0,0,0,0,0,0,0,0,0,9,0,3,0,10,0,0
batmin_JBG3,0,0,0,0,0,0,0,0,0,9,0,3,0,0,1,0
batvit_ITD7,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0
batvit_JDE6,0,0,0,0,0,0,0,0,0,12,0,3,32,13,0,0
batvit_JDE7,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0
benhoM_LEF2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benhor_ILF8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benmel_ILG3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benmel_IXB8,0,7,0,0,0,0,0,0,0,0,8,8,8,0,0,0
benmel_IZA2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bentri_LDA7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bentri_LDA9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boumic_JAE7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boumic_JCF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calmac_BND3,0,0,0,0,0,0,0,0,0,0,7,7,14,0,0,0
calmac_BND5,0,0,0,0,0,0,0,0,0,0,8,8,15,0,0,0
calmel_KAF3,0,0,0,0,0,0,0,0,0,0,8,8,14,0,0,0
calmel_KAF4,0,0,0,0,0,0,0,0,0,0,8,8,15,0,1,0
calple_JZE2,0,0,0,0,0,0,0,0,0,0,8,8,17,0,1,0
calple_JZE4,0,0,0,0,0,0,0,0,0,0,8,8,15,0,0,0
carsch_KAF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carsch_KAF2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0
chabif_LDD9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
chabif_LDE1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
chabri_AVA9,0,0,0,0,0,0,0,0,0,0,8,8,24,0,1,0
chabri_AVB2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0
chacya_LGG6,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
chacya_LGG7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
chando_KEE9,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0
chando_KEF1,0,0,0,0,0,0,0,0,0,0,10,10,10,0,1,0
chapop_Bel07,0,0,0,0,0,0,0,0,0,0,5,5,21,0,0,0
chapop_Bel09,0,0,0,0,0,0,0,0,0,0,6,6,6,0,1,0
cphfr5_KAG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cphfr5_KDG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cphfro_LEI6,0,0,0,0,0,0,0,0,0,0,3,3,3,0,1,0
cphfro_LEI9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cphgib_INH7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cphgib_INH9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cteben_DMD1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
cteben_IYA8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ctehor_AVA8,0,0,0,0,0,0,0,0,0,0,9,9,9,0,1,0
ctehor_AXA7,0,0,0,0,0,0,0,0,0,0,8,8,8,0,1,0
ctepol_JWG2,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0
cunlon_IWD7,0,0,0,0,0,0,0,0,0,0,28,28,28,0,0,0
cunlon_IWD8,0,0,0,0,0,0,0,0,0,0,8,8,8,15,0,0
cyafoa_IOD4,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
cyafoa_IOD6,0,0,0,0,0,0,0,0,43,0,8,8,8,0,0,0
cyafur_AVH2,0,0,0,0,0,0,0,0,0,0,6,6,6,0,1,0
cyafur_AYE5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cypcol_JEC7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cypcol_JED2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cypdwj_KFA7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cypdwj_KFA9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cypkan_INH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cypkib_Bel16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cypkib_Bel18,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0
cyplep_ISI2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cyplep_ISI6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cypmic_JVE1,0,0,0,0,0,0,0,0,0,0,3,3,3,0,1,0
cypmic_JVF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cyppav_JEB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cyppav_JEB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cypzon_GPC9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cypzon_GPD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ectdes_IRD7,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0
ectdes_IRD8,0,0,0,0,0,0,0,0,0,0,22,22,22,0,0,0
ectspN_KHC4,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0
ectspN_KHC5,0,0,0,0,0,0,0,0,0,0,8,14,14,0,0,0
enamel_AWC5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enamel_BNC5,0,0,0,0,0,0,0,0,0,0,8,8,8,0,1,0
erecya_IZH7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erecya_IZI3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eremar_JXE9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
eremar_JXF4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
gnaper_ITA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
gnaper_IUI5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
gnapfe_AWB7,0,0,0,0,0,0,0,0,0,0,8,8,49,0,0,0
gnapfe_AWE2,0,0,0,0,0,0,0,0,0,0,2,2,43,6,1,0
gralem_JDD7,0,0,0,0,6,0,0,0,0,0,8,8,8,0,0,0
gralem_JDD8,0,0,0,0,8,0,0,0,0,0,5,5,5,0,0,0
gwcbel_IXB5,0,0,0,0,0,0,0,0,0,0,3,3,3,0,1,0
gwcchr_IZE4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gwcchr_IZF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hapmic_IQB8,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0
hemste_IXC2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
hemste_IXC3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0
hemstZ_IZA5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
hemstZ_LJC5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
hplkil_LJE8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hplspC_HXC4,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
hplspC_HXC5,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0
hplsta_JYD3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hplvan_JWG3,0,0,0,0,0,0,0,0,0,0,4,4,4,0,1,0
intloo_IPB6,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0
intloo_IPF3,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
juldic_IRC4,0,0,0,0,0,0,0,0,0,0,8,8,9,0,0,0
juldic_IRC5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
julkom_ILD9,0,0,0,0,0,0,0,0,0,0,8,8,9,0,0,0
julkom_INA6,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0
julmaN_JXB5,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0
julmaN_JXC1,0,0,0,0,0,0,0,0,0,0,8,8,8,0,1,0
julmaS_LBA1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
julmaS_LBF3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
julmrk_LFG8,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
julmrk_LFH1,0,0,0,0,0,0,0,0,0,0,8,8,8,0,1,0
julorn_ISB7,0,0,0,0,0,0,0,0,0,0,8,8,8,0,1,0
julorn_ISC1,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
julreg_IRB2,0,0,0,0,0,0,9,9,0,0,8,8,8,0,0,0
julreg_IRB8,0,0,0,0,0,0,0,0,0,0,8,8,8,0,1,0
julreK_KFF4,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0
julreK_KHE6,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
jultra_HFG1287,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
jultra_LJC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
julunt_JWA1,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
julunt_JWA2,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0
lamcal_IPH2,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0
lamcal_JAB1,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0
lamkun_JXG8,0,0,0,0,0,0,0,0,0,0,12,19,12,0,1,0
lamkun_JXH2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
lamlap_JDI1,0,0,0,3,0,0,0,0,0,0,11,11,11,0,0,0
lamlap_JDI2,0,0,0,2,0,0,0,0,0,0,1,1,1,0,1,0
lamlem_IPD6,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0
lamlem_IZI7,0,0,0,0,0,0,0,0,0,0,5,5,5,0,1,0
lammel_JWA8,0,26,0,0,3,0,0,0,0,0,10,10,10,13,39,38
lammel_JWA9,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0
lamoce_ILC1,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0
lamoce_ILD3,0,0,0,0,0,0,0,0,0,0,8,8,8,0,1,0
lamorC_JWA3,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0
lamorC_JWA4,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
lamorn_JZF3,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0
lamorn_JZF4,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0
lamorS_JDF5,0,0,0,0,0,0,0,0,0,0,3,3,3,53,0,0
lamorS_JDG4,0,0,0,0,0,0,0,0,0,0,11,11,11,0,1,0
lamsig_IWD5,0,0,0,1,0,0,0,0,0,0,4,4,4,0,1,0
lamsig_IWD6,0,0,0,3,0,0,0,0,0,0,7,7,7,0,0,0
lamspe_KCG2,0,0,0,0,0,0,0,0,0,0,12,12,12,0,0,0
lamspe_KCG3,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0
lamtig_JWF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lchabe_ITB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lchabe_ITB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lchaur_ITB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lchaur_JAF5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lchsta_ITA6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lchsta_ITC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lchsta_IXB6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lepatt_AVD4,0,0,0,0,0,0,0,0,0,0,3,3,3,0,1,0
lepatt_AVG5,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0
lepcun_IOH4,0,0,0,0,0,0,0,0,0,0,8,8,22,0,0,0
lepcun_IOH5,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0
lepelo_AUE6,0,0,0,0,0,0,0,0,0,0,14,14,14,0,0,0
lepelo_AUG8,0,0,17,0,0,0,0,0,0,0,11,11,11,0,0,0
lepkam_LFF7,0,0,0,0,0,0,0,0,0,0,11,11,11,0,1,0
lepkam_LFF8,0,0,0,0,0,0,0,0,0,0,13,13,13,0,0,0
lepken_IMD1,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
lepken_IMD2,0,0,0,0,0,0,0,0,0,0,3,3,3,0,1,0
lepmeK_LHA2,0,0,0,0,0,0,0,0,0,0,14,14,14,0,1,0
lepmeK_LHA5,0,0,0,0,0,0,0,0,0,0,11,11,11,0,1,0
lepmim_LDD1,0,0,0,0,0,0,0,0,0,0,3,3,3,0,14,0
lepmim_LDD6,0,0,0,0,0,0,0,0,0,0,3,3,3,0,15,0
leppro_KAD2,0,0,0,0,0,0,0,0,0,0,9,9,9,0,1,0
leppro_KEB8,0,0,0,0,0,0,0,0,0,0,4,4,4,0,1,0
lesper_IRA1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
