spp	dS	+-SE
Altcal	0.0528	0.0204
Altcom	0.0494	0.0206
Altshe	0.0488	0.0203
Arcstr	0.0530	0.0205
Asplep	0.0404	0.0183
Astbur	0.0572	0.0222
Astfla	0.0608	0.0221
Astpal	0.0533	0.0206
Auldew	0.0404	0.0183
Baicen	0.0488	0.0203
Batfas	0.0532	0.0205
Batfer	0.0532	0.0205
Batgra	0.0452	0.0188
Bathor	0.0607	0.0219
Batleo	0.0532	0.0205
Batmin	0.0457	0.0190
Batvit	0.0532	0.0205
BenhoM	0.0627	0.0243
Benhor	0.0627	0.0243
Benmel	0.0627	0.0243
Bentri	0.0627	0.0243
Boumic	0.0375	0.0170
Calmac	0.0410	0.0186
Calmel	0.0411	0.0186
Calple	0.0583	0.0226
Carsch	0.0406	0.0184
Chabif	0.0451	0.0187
Chabri	0.0374	0.0169
Chacya	0.0406	0.0184
Chando	0.0451	0.0187
Chapop	0.0498	0.0207
Cphfr5	0.0487	0.0203
Cphfro	0.0488	0.0203
Cphgib	0.0487	0.0203
Cteben	0.0487	0.0203
Ctehor	0.0423	0.0175
Ctepol	0.0453	0.0188
Cunlon	0.0405	0.0184
Cyafoa	0.0409	0.0186
Cyafur	0.0404	0.0183
Cypcol	0.0573	0.0222
Cypdwj	0.0573	0.0222
Cypkan	0.0573	0.0222
Cypkib	0.0411	0.0187
Cyplep	0.0574	0.0222
Cypmic	0.0573	0.0222
Cyppav	0.0578	0.0224
Cypzon	0.0573	0.0222
Ectdes	0.0404	0.0183
EctspN	0.0404	0.0183
Enamel	0.0404	0.0183
Erecya	0.0607	0.0219
Eremar	0.0529	0.0203
Gnaper	0.0498	0.0207
Gnapfe	0.0426	0.0177
Gralem	0.0322	0.0163
Gwcbel	0.0659	0.0240
Gwcchr	0.0487	0.0203
Hapmic	0.0441	0.0201
Hemste	0.0411	0.0186
HemstZ	0.0404	0.0183
Hplkil	0.0590	0.0213
HplspC	0.0608	0.0221
Hplsta	0.0608	0.0221
Hplvan	0.0608	0.0221
Intloo	0.0427	0.0177
Juldic	0.0451	0.0187
Julkom	0.0452	0.0188
JulmaN	0.0444	0.0202
JulmaS	0.0444	0.0202
Julmrk	0.0416	0.0189
Julorn	0.0451	0.0187
Julreg	0.0411	0.0186
JulreK	0.0409	0.0186
Jultra	0.0497	0.0207
Julunt	0.0503	0.0209
Lamcal	0.0488	0.0203
Lamkun	0.0374	0.0170
Lamlap	0.0452	0.0188
Lamlem	0.0494	0.0206
Lammel	0.0488	0.0203
Lamoce	0.0488	0.0203
LamorC	0.0488	0.0203
Lamorn	0.0488	0.0203
LamorS	0.0407	0.0185
Lamsig	0.0452	0.0188
Lamspe	0.0488	0.0203
Lamtig	0.0573	0.0222
Lchabe	0.0487	0.0203
Lchaur	0.0489	0.0203
Lchsta	0.0487	0.0203
Lepatt	0.0496	0.0207
Lepcun	0.0451	0.0187
Lepelo	0.0488	0.0203
Lepkam	0.0451	0.0187
Lepken	0.0496	0.0207
LepmeK	0.0496	0.0207
Lepmim	0.0488	0.0203
Leppro	0.0451	0.0187
Lesper	0.0404	0.0183
Lessta	0.0404	0.0183
Limdar	0.0427	0.0177
Loblab	0.0439	0.0182
Mdcrot	0.0405	0.0184
Mdcten	0.0371	0.0168
Neobif	0.0489	0.0203
Neobou	0.0451	0.0187
Neobre	0.0413	0.0188
Neobri	0.0406	0.0184
NeobrM	0.0406	0.0184
Neobue	0.0489	0.0203
NeocaK	0.0488	0.0203
Neocal	0.0412	0.0187
Neocau	0.0488	0.0203
Neochi	0.0406	0.0184
Neochr	0.0489	0.0203
Neocra	0.0504	0.0210
Neocyg	0.0407	0.0185
Neocyl	0.0489	0.0203
Neodev	0.0431	0.0179
Neoese	0.0489	0.0203
Neofal	0.0406	0.0184
NeofaM	0.0412	0.0187
Neofas	0.0572	0.0221
Neofur	0.0489	0.0203
NeofuU	0.0489	0.0203
Neogra	0.0536	0.0223
NeogrM	0.0414	0.0188
