spp	dS	SE
Altcal	0.1467	0.0378
Altcom	0.1317	0.0359
Altshe	0.1467	0.0378
Arcstr	0.13	0.0352
Asplep	0.1131	0.0328
Astbur	0.1313	0.0357
Astfla	0.148	0.0381
Astpal	0.1325	0.0362
Auldew	0.1375	0.0362
Baicen	0.1143	0.0335
Batfas	0.1634	0.0422
Batfer	0.1543	0.0405
Batgra	0.153	0.0401
Bathor	0.153	0.0401
Batleo	0.153	0.0401
Batmin	0.1528	0.0401
Batvit	0.1426	0.0381
BenhoM	0.1126	0.0325
Benhor	0.1202	0.0335
Benmel	0.1127	0.0326
Bentri	0.1126	0.0325
Boumic	0.1062	0.0321
Calmac	0.1144	0.0333
Calmel	0.1213	0.0338
Calple	0.1305	0.0355
Carsch	0.129	0.0348
Chabif	0.1529	0.0409
Chabri	0.1541	0.0412
Chacya	0.1481	0.0385
Chando	0.1529	0.0409
Chapop	0.1537	0.0411
Cphfr5	0.1211	0.0339
Cphfro	0.1226	0.0343
Cphgib	0.1211	0.0339
Cteben	0.1267	0.0359
Ctehor	0.1059	0.0319
Ctepol	0.1142	0.033
Cunlon	0.1221	0.0342
Cyafoa	0.1298	0.0351
Cyafur	0.1285	0.0347
Cypcol	0.0968	0.0304
Cypdwj	0.097	0.0305
Cypkan	0.1128	0.0327
Cypkib	0.1128	0.0327
Cyplep	0.1121	0.0325
Cypmic	0.1312	0.0358
Cyppav	0.1251	0.0356
Cypzon	0.1128	0.0327
Ectdes	0.1292	0.0349
EctspN	0.1284	0.0347
Enamel	0.1207	0.0336
Erecya	0.1375	0.0363
Eremar	0.1466	0.0378
Gnaper	0.1055	0.0318
Gnapfe	0.1037	0.0312
Gralem	0.113	0.0327
Gwcbel	0.1046	0.0316
Gwcchr	0.1046	0.0316
Hapmic	0.1126	0.0326
Hemste	0.1231	0.0345
HemstZ	0.1145	0.0332
Hplkil	0.1705	0.0422
HplspC	0.1393	0.0367
Hplsta	0.1393	0.0367
Hplvan	0.1374	0.0361
Intloo	0.1239	0.0351
Juldic	0.1423	0.0388
Julkom	0.1526	0.0408
JulmaN	0.1481	0.0385
JulmaS	0.1481	0.0385
Julmrk	0.1489	0.0388
Julorn	0.153	0.0409
Julreg	0.1477	0.0384
JulreK	0.1481	0.0385
Jultra	0.1525	0.0408
Julunt	0.1494	0.0389
Lamcal	0.1488	0.0387
Lamkun	0.1378	0.0365
Lamlap	0.1314	0.0363
Lamlem	0.1387	0.0369
Lammel	0.162	0.0397
Lamoce	0.1405	0.0371
LamorC	0.1399	0.0374
Lamorn	0.1222	0.0348
LamorS	0.1318	0.0364
Lamsig	0.1321	0.0365
Lamspe	0.1377	0.0364
Lamtig	0.1627	0.0426
Lchabe	0.1045	0.0315
Lchaur	0.1052	0.0318
Lchsta	0.1046	0.0316
Lepatt	0.1346	0.0375
Lepcun	0.1429	0.0389
