Spp	phenotype
Altcal	1
Altcom	0
Altshe	1
Asplep	1
Astbur	0
Auldew	0
Baicen	1
Batfas	0
Batvit	0
Benhor	0
Bentri	0
Boumic	1
Calmac	0
Calmel	0
Calple	0
Carsch	0
Chabri	1
Chacya	1
Chando	1
Chapop	1
Cphfro	0
Cphgib	0
Cteben	1
Ctehor	0
Cunlon	0
Cyafoa	0
Cyafur	0
Cypcol	0
Cyplep	0
Cypmic	1
Cyppav	0
Cypzon	0
Ectdes	0
Enamel	0
Erecya	1
Eremar	1
Gnaper	1
Gnapfe	0
Gralem	0
Gwcbel	1
Gwcchr	1
Hapmic	1
Intloo	0
Juldic	1
Julman	1
Julorn	1
Julrek	1
Jultra	1
Lamcal	0
Lamkun	1
Lamlap	1
Lamlem	0
Lammel	1
Lamoce	0
Lamorn	0
Lamsig	1
Lamspe	0
Lchabe	1
Lchaur	1
Lchsta	1
Lepatt	1
Lepcun	1
Lepelo	1
Lepkam	1
Lepken	1
Lepmek	1
Lepmim	1
Leppro	1
Lesper	0
Lessta	0
Limdar	0
Loblab	0
Mdcten	1
Neobif	0
Neobou	1
Neobre	1
Neobri	1
Neobue	0
Neocak	1
Neocal	0
Neocau	1
Neochi	1
Neochr	1
Neocyl	1
Neofal	1
Neofas	0
Neofur	0
Neogra	1
Neohel	1
Neolel	1
Neoleu	1
Neolon	0
Neolou	1
Neomar	1
Neomee	0
Neomod	0
Neomon	0
Neomul	1
Neomux	1
Neonve	1
Neoobs	0
Neooli	1
Neopec	1
Neople	0
Neopro	1
Neopul	1
Neosav	1
Neosex	1
Neosim	1
Neospl	1
Neotet	1
Neotoa	1
Neotre	1
Neovar	1
Neoveb	1
Neowal	1
Ophboo	0
Ophhet	0
Ophnas	0
Ophven	0
Pcybrn	0
Pcynig	0
Perecc	1
Permic	1
Petfam	0
Petfas	1
Petort	0
Petpol	0
Pettre	0
Pleela	1
Plemul	1
Plepar	1
Plestr	1
Pscbab	0
Psccur	0
Pscmar	0
Psephi	0
Regcal	1
Simdia	1
Spaery	1
Spamar	1
Tanirs	1
Telbif	0
Telbra	0
Telbri	1
Teldhs	1
Telshe	1
Teltes	1
Telvit	0
Trezeb	1
Trioto	1
Troann	0
Trobri	0
Trodub	1
Trolun	1
Tromoo	1
Trompi	1
Tronig	1
Tropol	0
Trored	1
Varmoo	1
Xchhec	1
Xenbat	0
Xenbou	1
Xenfla	1
Xenkil	0
Xenlon	1
Xennas	1
Xennis	1
Xenoch	1
Xenorn	0
Xenpak	1
Xenpap	1
Xensim	0
Xensin	0
Xenspi	1
Xenspn	1
Xensun	1
