Spp	phenotype
Altcal	0
Altcom	0
Altshe	0
Arcstr	0
Asplep	1
Astbur	0
Astfla	0
Astpal	0
Auldew	0
Baicen	1
Batfas	0
Batfer	0
Batgra	0
Bathor	0
Batleo	0
Batmin	0
Batvit	0
Benhor	0
Benmel	0
Bentri	0
Boumic	1
Calmac	0
Calmel	0
Calple	0
Carsch	0
Chabri	1
Chando	1
Chapop	1
Cphfr5	0
Cphfro	0
Cphgib	0
Cteben	0
Ctehor	0
Ctepol	0
Cunlon	0
Cyafoa	0
Cyafur	0
Cypcol	0
Cypkan	0
Cypkib	0
Cyplep	0
Cypmic	0
Cyppav	0
Cypzon	0
Ectdes	0
EctspN	0
Enamel	0
Erecya	1
Eremar	1
Gnaper	1
Gnapfe	0
Gralem	0
Gwcbel	1
Gwcchr	1
Hapmic	1
Haptri	1
Hemste	0
HemstZ	0
Hplsta	0
Intloo	0
Juldic	1
JulmaN	1
Julorn	1
JulreK	1
Jultra	1
Lamcal	0
Lamkun	1
Lamlap	1
Lamlem	0
Lammel	1
Lamoce	0
Lamorn	0
Lamsig	0
Lamspe	0
Lchabe	1
Lchaur	1
Lchsta	1
Lepatt	1
Lepcun	1
Lepelo	1
Lepkam	1
Lepken	1
LepmeK	1
Leppro	0
Lesper	0
Lessta	0
Limdar	0
Loblab	0
Mdcrot	0
Mdcten	1
Neobif	0
Neobou	0
Neobre	0
Neobri	1
Neobue	1
NeocaK	1
Neocal	0
Neocau	1
Neochi	1
Neochr	1
Neocra	1
Neocyl	1
Neofal	1
Neofas	0
Neofur	0
Neogra	1
Neohel	1
NeoleL	1
Neoleu	1
Neolon	0
Neolou	1
Neomar	1
Neomee	0
Neomod	0
Neomon	0
Neomul	0
Neomux	1
Neonve	1
Neoobs	0
Neooli	1
Neopec	1
Neople	0
Neopro	0
Neopul	1
Neosav	0
Neosex	1
Neosim	1
Neospl	1
Neotet	1
Neotim	0
Neotoa	1
Neotre	1
Neovar	1
NeoveB	1
Neowal	1
Ophboo	0
Ophhet	0
Ophnas	0
Ophven	0
Orenil	0
Oretan	0
Ortcho	0
Ortred	0
PcybrN	0
Pcynig	0
Perecc	1
Permic	1
Peteph	0
Petfam	0
Petfas	0
Pethor	0
Petmac	0
Petort	0
Petpol	0
Pettre	0
Phaacu	0
Pleela	1
Plemul	1
Plepar	1
Plestr	1
Pscbab	0
Psccur	0
Pscmar	0
Psephi	0
Regcal	1
Sarcar	0
Sermac	0
Simdia	0
Spaery	1
Spamar	1
Tanirs	1
Tchdha	1
Telbif	0
Telbri	1
TeldhS	0
Telshe	1
TelteS	0
Telvit	0
Thobra	0
Trecap	0
Tremac	0
Tremar	0
Trenig	0
Tresti	0
Treuni	0
Trezeb	0
Trioto	1
Troann	0
Trobri	0
Trodub	0
Trolun	0
Tromoo	0
Trompi	0
Tronig	0
Tropol	0
Trored	0
Tylpol	0
Varmoo	1
Xchhec	1
Xenbat	0
Xenbou	1
Xencau	0
Xenfla	1
Xenkil	0
Xenlon	1
Xennas	1
XenniS	1
Xenoch	1
Xenorn	0
XenpaK	1
Xenpap	1
Xensim	0
Xensin	0
Xenspi	1
XenspN	1
Xensun	1
