Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.273000	0.934272	1000	0.273000	0.273000	0.308749	
1000	0.314000	0.934272	1000	0.314000	0.314000	0.308801	
1000	0.348000	0.934272	1000	0.348000	0.348000	0.309181	
1000	0.287000	0.934272	1000	0.287000	0.287000	0.308968	
1000	0.356000	0.934272	1000	0.356000	0.356000	0.309416	
1000	0.306000	0.934272	1000	0.306000	0.306000	0.309384	
1000	0.322000	0.934272	1000	0.322000	0.322000	0.309502	
1000	0.334000	0.934272	1000	0.334000	0.334000	0.309729	
1000	0.317000	0.934272	1000	0.317000	0.317000	0.309795	
1000	0.383000	0.934272	1000	0.383000	0.383000	0.310461	
1000	0.301000	0.934272	1000	0.301000	0.301000	0.310376	
1000	0.319000	0.934272	1000	0.319000	0.319000	0.310453	
1000	0.306000	0.934272	1000	0.306000	0.306000	0.310413	
1000	0.329000	0.934272	1000	0.329000	0.329000	0.310576	
1000	0.283000	0.934272	1000	0.283000	0.283000	0.310336	
1000	0.313000	0.934272	1000	0.313000	0.313000	0.310359	
1000	0.294000	0.934272	1000	0.294000	0.294000	0.310220	
1000	0.321000	0.934272	1000	0.321000	0.321000	0.310311	
1000	0.295000	0.934272	1000	0.295000	0.295000	0.310182	
1000	0.304000	0.934272	1000	0.304000	0.304000	0.310131	
1000	0.314000	0.934272	1000	0.314000	0.314000	0.310163	
1000	0.332000	0.934272	1000	0.332000	0.332000	0.310342	
1000	0.303000	0.934272	1000	0.303000	0.303000	0.310282	
1000	0.312000	0.934272	1000	0.312000	0.312000	0.310296	
1000	0.337000	0.934272	1000	0.337000	0.337000	0.310510	
1000	0.333000	0.934272	1000	0.333000	0.333000	0.310688	
1000	0.318000	0.934272	1000	0.318000	0.318000	0.310746	
1000	0.336000	0.934272	1000	0.336000	0.336000	0.310943	
1000	0.325000	0.934272	1000	0.325000	0.325000	0.311052	
1000	0.275000	0.934272	1000	0.275000	0.275000	0.310775	
1000	0.337000	0.934272	1000	0.337000	0.337000	0.310975	
1000	0.344000	0.934272	1000	0.344000	0.344000	0.311225	
1000	0.302000	0.934272	1000	0.302000	0.302000	0.311156	
1000	0.327000	0.934272	1000	0.327000	0.327000	0.311274	
1000	0.300000	0.934272	1000	0.300000	0.300000	0.311190	
1000	0.332000	0.934272	1000	0.332000	0.332000	0.311343	
1000	0.317000	0.934272	1000	0.317000	0.317000	0.311385	
1000	0.319000	0.934272	1000	0.319000	0.319000	0.311440	
1000	0.354000	0.934272	1000	0.354000	0.354000	0.311746	
1000	0.299000	0.934272	1000	0.299000	0.299000	0.311655	
1000	0.301000	0.934272	1000	0.301000	0.301000	0.311579	
1000	0.304000	0.934272	1000	0.304000	0.304000	0.311526	
1000	0.316000	0.934272	1000	0.316000	0.316000	0.311557	
1000	0.338000	0.934272	1000	0.338000	0.338000	0.311741	
1000	0.338000	0.934272	1000	0.338000	0.338000	0.311922	
1000	0.314000	0.934272	1000	0.314000	0.314000	0.311936	
1000	0.350000	0.934272	1000	0.350000	0.350000	0.312195	
1000	0.332000	0.934272	1000	0.332000	0.332000	0.312329	
1000	0.314000	0.934272	1000	0.314000	0.314000	0.312340	
1000	0.307000	0.934272	1000	0.307000	0.307000	0.312305	
1000	0.315000	0.934272	1000	0.315000	0.315000	0.312322	
1000	0.323000	0.934272	1000	0.323000	0.323000	0.312393	
1000	0.324000	0.934272	1000	0.324000	0.324000	0.312469	
1000	0.353000	0.934272	1000	0.353000	0.353000	0.312732	
1000	0.354000	0.934272	1000	0.354000	0.354000	0.312998	
1000	0.324000	0.934272	1000	0.324000	0.324000	0.313069	
1000	0.383000	0.934272	1000	0.383000	0.383000	0.313514	
1000	0.325000	0.934272	1000	0.325000	0.325000	0.313587	
1000	0.350000	0.934272	1000	0.350000	0.350000	0.313816	
1000	0.330000	0.934272	1000	0.330000	0.330000	0.313917	
1000	0.313000	0.934272	1000	0.313000	0.313000	0.313911	
1000	0.333000	0.934272	1000	0.333000	0.333000	0.314029	
1000	0.313000	0.934272	1000	0.313000	0.313000	0.314023	
