Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               20000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	15000	-0.258722	-0.258722
1	0.995007	15000	-0.258204	-0.516926
2	0.992517	15000	-0.257511	-0.774437
3	0.990030	15000	-0.257288	-1.031724
4	0.987547	15000	-0.256894	-1.288618
5	0.985067	15000	-0.256778	-1.545397
6	0.982592	15000	-0.256058	-1.801455
7	0.980120	15000	-0.256025	-2.057480
8	0.977652	15000	-0.255442	-2.312922
9	0.975187	15000	-0.255173	-2.568095
10	0.972726	15000	-0.254759	-2.822853
11	0.970269	15000	-0.254272	-3.077125
12	0.967816	15000	-0.253977	-3.331102
13	0.965367	15000	-0.253671	-3.584773
14	0.962921	15000	-0.253258	-3.838031
15	0.960479	15000	-0.253059	-4.091090
16	0.958040	15000	-0.252424	-4.343514
17	0.955606	15000	-0.252250	-4.595764
18	0.953175	15000	-0.251931	-4.847696
19	0.950747	15000	-0.251552	-5.099247
20	0.948324	15000	-0.251164	-5.350411
21	0.945904	15000	-0.250534	-5.600945
22	0.943488	15000	-0.250179	-5.851124
23	0.941076	15000	-0.249911	-6.101034
24	0.938667	15000	-0.249276	-6.350311
25	0.936262	15000	-0.249390	-6.599701
26	0.933861	15000	-0.248995	-6.848697
27	0.931463	15000	-0.248605	-7.097301
28	0.929069	15000	-0.248066	-7.345367
29	0.926679	15000	-0.248010	-7.593377
30	0.924293	15000	-0.247624	-7.841002
31	0.921910	15000	-0.246942	-8.087943
32	0.919531	15000	-0.246491	-8.334435
33	0.917155	15000	-0.245908	-8.580343
34	0.914783	15000	-0.245699	-8.826042
35	0.912415	15000	-0.245950	-9.071992
36	0.910051	15000	-0.244863	-9.316855
37	0.907690	15000	-0.244728	-9.561583
38	0.905333	15000	-0.244112	-9.805695
39	0.902980	15000	-0.244086	-10.049780
40	0.900630	15000	-0.243746	-10.293527
41	0.898284	15000	-0.243459	-10.536986
42	0.895942	15000	-0.243233	-10.780219
43	0.893603	15000	-0.242273	-11.022493
44	0.891268	15000	-0.242454	-11.264947
45	0.888937	15000	-0.241579	-11.506526
46	0.886609	15000	-0.241546	-11.748072
47	0.884285	15000	-0.241077	-11.989149
48	0.881965	15000	-0.240718	-12.229867
49	0.879648	15000	-0.240531	-12.470399
50	0.877335	15000	-0.240205	-12.710603
51	0.875026	15000	-0.239651	-12.950254
52	0.872720	15000	-0.260556	-13.210810
53	0.870418	15000	-0.275570	-13.486380
54	0.868120	15000	-0.242658	-13.729038
55	0.865825	15000	-0.238494	-13.967533
56	0.863534	15000	-0.237697	-14.205230
57	0.861246	15000	-0.237617	-14.442847
58	0.858962	15000	-0.236958	-14.679805
59	0.856682	15000	-0.236674	-14.916480
60	0.854405	15000	-0.236418	-15.152898
61	0.852132	15000	-0.236016	-15.388914
62	0.849863	15000	-0.235818	-15.624733
63	0.847597	15000	-0.234992	-15.859725
64	0.845335	15000	-0.235005	-16.094730
65	0.843077	15000	-0.234894	-16.329624
66	0.840822	15000	-0.234359	-16.563983
67	0.838571	15000	-0.234026	-16.798009
68	0.836323	15000	-0.233487	-17.031496
69	0.834079	15000	-0.233402	-17.264898
70	0.831839	15000	-0.232863	-17.497761
71	0.829602	15000	-0.232371	-17.730132
72	0.827369	15000	-0.232297	-17.962429
73	0.825140	15000	-0.250844	-18.213273
74	0.822914	15000	-0.267073	-18.480346
75	0.820691	15000	-0.266388	-18.746733
76	0.818473	15000	-0.265816	-19.012550
77	0.816258	15000	-0.265118	-19.277668
78	0.814046	15000	-0.248494	-19.526162
79	0.811838	15000	-0.229786	-19.755948
80	0.809634	15000	-0.229471	-19.985419
81	0.807433	15000	-0.228901	-20.214319
82	0.805236	15000	-0.260787	-20.475106
83	0.803043	15000	-0.262789	-20.737896
84	0.800853	15000	-0.262068	-20.999963
85	0.798667	15000	-0.262296	-21.262259
86	0.796484	15000	-0.261986	-21.524245
87	0.794305	15000	-0.260845	-21.785089
88	0.792129	15000	-0.261120	-22.046209
89	0.789957	15000	-0.261107	-22.307316
90	0.787789	15000	-0.260026	-22.567343
91	0.785624	15000	-0.259337	-22.826680
92	0.783463	15000	-0.258883	-23.085562
93	0.781305	15000	-0.258797	-23.344359
94	0.779151	15000	-0.258644	-23.603003
95	0.777000	15000	-0.258159	-23.861162
96	0.774853	15000	-0.257709	-24.118871
97	0.772710	15000	-0.257001	-24.375872
98	0.770570	15000	-0.232975	-24.608847
99	0.768433	15000	-0.222665	-24.831512
100	0.766301	15000	-0.222267	-25.053780
101	0.764172	15000	-0.221782	-25.275562
102	0.762046	15000	-0.221361	-25.496923
103	0.759924	15000	-0.255226	-25.752148
104	0.757805	15000	-0.254969	-26.007117
105	0.755690	15000	-0.253513	-26.260630
106	0.753579	15000	-0.253483	-26.514113
107	0.751471	15000	-0.252744	-26.766857
108	0.749366	15000	-0.252471	-27.019328
109	0.747266	15000	-0.251800	-27.271128
110	0.745168	15000	-0.251664	-27.522792
111	0.743075	15000	-0.251688	-27.774481
112	0.740984	15000	-0.251271	-28.025752
113	0.738898	15000	-0.250678	-28.276430
114	0.736815	15000	-0.250293	-28.526723
115	0.734735	15000	-0.249928	-28.776651
116	0.732659	15000	-0.249074	-29.025725
117	0.730586	15000	-0.249027	-29.274752
118	0.728517	15000	-0.248528	-29.523280
119	0.726452	15000	-0.215763	-29.739043
120	0.724390	15000	-0.214876	-29.953919
