Options:
Model:                           Discrete: Independent
Tree File Name:                  ./OTVT/Pair_bonding/phyl_tree/trees_translated/OT_9.nex
Data File Name:                  /Users/psorigue/fil/BayesTraitsV4/OTVT/Pair_bonding/phyl_tree/10e7/runs//OT_9_ind.txt
Log File Name:                   /Users/psorigue/fil/BayesTraitsV4/OTVT/Pair_bonding/phyl_tree/10e7/runs//OT_9_ind.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2974659746
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         100000
MCMC ML Start:                   False
Schedule File:                   /Users/psorigue/fil/BayesTraitsV4/OTVT/Pair_bonding/phyl_tree/10e7/runs//OT_9_ind.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - uniform 0.00 100.00 
        beta1 - uniform 0.00 100.00 
        alpha2 - uniform 0.00 100.00 
        beta2 - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       166
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
101000	-102.957926	1	0.431824	43.862136	0.074848	0.147080	0.060674	0.439326	0.060674	0.439326	
102000	-102.804500	1	0.521587	80.674031	0.212761	0.198646	0.229952	0.270048	0.229952	0.270048	
103000	-104.361078	1	0.193483	62.096542	0.201529	0.108223	0.341932	0.158068	0.341932	0.158068	
104000	-102.732583	1	0.701767	51.285722	0.092431	0.149826	0.098441	0.401559	0.098441	0.401559	
105000	-102.691172	1	0.322618	29.551999	0.199545	0.151994	0.257147	0.242853	0.257147	0.242853	
106000	-104.989274	1	1.263176	42.184955	0.218838	0.163850	0.257148	0.242852	0.257148	0.242852	
107000	-105.666346	1	0.843340	86.763521	0.224276	0.096224	0.388983	0.111017	0.388983	0.111017	
108000	-102.367214	1	0.109384	7.931329	0.140422	0.140109	0.206165	0.293835	0.206165	0.293835	
109000	-105.673667	1	0.963818	76.628641	0.323575	0.248584	0.250248	0.249752	0.250248	0.249752	
110000	-102.363960	1	0.234560	58.138353	0.092866	0.146820	0.101556	0.398444	0.101556	0.398444	
111000	-104.023979	1	0.781660	86.925708	0.190516	0.107812	0.334138	0.165862	0.334138	0.165862	
112000	-102.973856	1	0.108222	48.065299	0.088615	0.163657	0.083028	0.416972	0.083028	0.416972	
113000	-102.342722	1	0.384596	37.126401	0.186910	0.163824	0.234233	0.265767	0.234233	0.265767	
114000	-105.729864	1	0.199938	59.190408	0.330386	0.256380	0.249878	0.250122	0.249878	0.250122	
