Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.327000	1.216372	1000	0.327000	0.327000	0.278314	
1000	0.336000	1.216372	1000	0.336000	0.336000	0.278880	
1000	0.305000	1.216372	1000	0.305000	0.305000	0.279133	
1000	0.293000	1.216372	1000	0.293000	0.293000	0.279267	
1000	0.298000	1.216372	1000	0.298000	0.298000	0.279445	
1000	0.321000	1.216372	1000	0.321000	0.321000	0.279837	
1000	0.336000	1.216372	1000	0.336000	0.336000	0.280362	
1000	0.328000	1.216372	1000	0.328000	0.328000	0.280803	
1000	0.341000	1.216372	1000	0.341000	0.341000	0.281355	
1000	0.293000	1.216372	1000	0.293000	0.293000	0.281461	
1000	0.345000	1.216372	1000	0.345000	0.345000	0.282033	
1000	0.333000	1.216372	1000	0.333000	0.333000	0.282489	
1000	0.295000	1.216372	1000	0.295000	0.295000	0.282599	
1000	0.324000	1.216372	1000	0.324000	0.324000	0.282962	
1000	0.295000	1.216372	1000	0.295000	0.295000	0.283067	
1000	0.291000	1.216372	1000	0.291000	0.291000	0.283135	
1000	0.342000	1.216372	1000	0.342000	0.342000	0.283639	
1000	0.321000	1.216372	1000	0.321000	0.321000	0.283955	
1000	0.281000	1.216372	1000	0.281000	0.281000	0.283930	
1000	0.323000	1.216372	1000	0.323000	0.323000	0.284256	
1000	0.344000	1.216372	1000	0.344000	0.344000	0.284750	
1000	0.329000	1.216372	1000	0.329000	0.329000	0.285112	
1000	0.336000	1.216372	1000	0.336000	0.336000	0.285526	
1000	0.343000	1.216372	1000	0.343000	0.343000	0.285990	
1000	0.337000	1.216372	1000	0.337000	0.337000	0.286398	
1000	0.304000	1.216372	1000	0.304000	0.304000	0.286537	
1000	0.349000	1.216372	1000	0.349000	0.349000	0.287029	
1000	0.366000	1.216372	1000	0.366000	0.366000	0.287646	
1000	0.309000	1.216372	1000	0.309000	0.309000	0.287812	
1000	0.353000	1.216372	1000	0.353000	0.353000	0.288313	
1000	0.336000	1.216372	1000	0.336000	0.336000	0.288677	
1000	0.335000	1.216372	1000	0.335000	0.335000	0.289028	
1000	0.327000	1.216372	1000	0.327000	0.327000	0.289314	
1000	0.338000	1.216372	1000	0.338000	0.338000	0.289677	
1000	0.361000	1.216372	1000	0.361000	0.361000	0.290205	
1000	0.330000	1.216372	1000	0.330000	0.330000	0.290498	
1000	0.367000	1.216372	1000	0.367000	0.367000	0.291056	
1000	0.299000	1.216372	1000	0.299000	0.299000	0.291114	
1000	0.324000	1.216372	1000	0.324000	0.324000	0.291350	
1000	0.313000	1.216372	1000	0.313000	0.313000	0.291505	
1000	0.316000	1.216372	1000	0.316000	0.316000	0.291679	
1000	0.297000	1.216372	1000	0.297000	0.297000	0.291716	
1000	0.357000	1.216372	1000	0.357000	0.357000	0.292173	
1000	0.360000	1.216372	1000	0.360000	0.360000	0.292644	
1000	0.330000	1.216372	1000	0.330000	0.330000	0.292901	
1000	0.346000	1.216372	1000	0.346000	0.346000	0.293265	
1000	0.313000	1.216372	1000	0.313000	0.313000	0.293399	
1000	0.310000	1.216372	1000	0.310000	0.310000	0.293512	
1000	0.321000	1.216372	1000	0.321000	0.321000	0.293696	
1000	0.293000	1.216372	1000	0.293000	0.293000	0.293691	
1000	0.280000	1.216372	1000	0.280000	0.280000	0.293601	
1000	0.275000	1.216372	1000	0.275000	0.275000	0.293478	
1000	0.357000	1.216372	1000	0.357000	0.357000	0.293894	
1000	0.321000	1.216372	1000	0.321000	0.321000	0.294070	
1000	0.333000	1.216372	1000	0.333000	0.333000	0.294321	
1000	0.323000	1.216372	1000	0.323000	0.323000	0.294505	
1000	0.311000	1.216372	1000	0.311000	0.311000	0.294610	
1000	0.316000	1.216372	1000	0.316000	0.316000	0.294745	
1000	0.330000	1.216372	1000	0.330000	0.330000	0.294967	
1000	0.309000	1.216372	1000	0.309000	0.309000	0.295054	
1000	0.331000	1.216372	1000	0.331000	0.331000	0.295278	
1000	0.356000	1.216372	1000	0.356000	0.356000	0.295652	
1000	0.352000	1.216372	1000	0.352000	0.352000	0.295998	
1000	0.323000	1.216372	1000	0.323000	0.323000	0.296163	
1000	0.344000	1.216372	1000	0.344000	0.344000	0.296453	
1000	0.326000	1.216372	1000	0.326000	0.326000	0.296631	
1000	0.314000	1.216372	1000	0.314000	0.314000	0.296735	
1000	0.307000	1.216372	1000	0.307000	0.307000	0.296796	
1000	0.329000	1.216372	1000	0.329000	0.329000	0.296986	
1000	0.319000	1.216372	1000	0.319000	0.319000	0.297116	
1000	0.328000	1.216372	1000	0.328000	0.328000	0.297297	
1000	0.310000	1.216372	1000	0.310000	0.310000	0.297370	
1000	0.311000	1.216372	1000	0.311000	0.311000	0.297449	
1000	0.308000	1.216372	1000	0.308000	0.308000	0.297510	
1000	0.290000	1.216372	1000	0.290000	0.290000	0.297467	
1000	0.294000	1.216372	1000	0.294000	0.294000	0.297447	
1000	0.283000	1.216372	1000	0.283000	0.283000	0.297366	
1000	0.311000	1.216372	1000	0.311000	0.311000	0.297442	
1000	0.319000	1.216372	1000	0.319000	0.319000	0.297563	
1000	0.324000	1.216372	1000	0.324000	0.324000	0.297709	
1000	0.337000	1.216372	1000	0.337000	0.337000	0.297927	
1000	0.350000	1.216372	1000	0.350000	0.350000	0.298213	
1000	0.320000	1.216372	1000	0.320000	0.320000	0.298332	
