Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               20000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	15000	-0.258707	-0.258707
1	0.995007	15000	-0.258196	-0.516903
2	0.992517	15000	-0.257682	-0.774585
3	0.990030	15000	-0.257391	-1.031975
4	0.987547	15000	-0.257008	-1.288984
5	0.985067	15000	-0.256538	-1.545522
6	0.982592	15000	-0.256369	-1.801891
7	0.980120	15000	-0.255766	-2.057657
8	0.977652	15000	-0.255578	-2.313235
9	0.975187	15000	-0.254959	-2.568194
10	0.972726	15000	-0.254835	-2.823029
11	0.970269	15000	-0.254230	-3.077259
12	0.967816	15000	-0.253957	-3.331216
13	0.965367	15000	-0.253792	-3.585008
14	0.962921	15000	-0.253652	-3.838660
15	0.960479	15000	-0.252887	-4.091546
16	0.958040	15000	-0.252614	-4.344161
17	0.955606	15000	-0.252262	-4.596422
18	0.953175	15000	-0.251911	-4.848333
19	0.950747	15000	-0.251315	-5.099648
20	0.948324	15000	-0.251080	-5.350728
21	0.945904	15000	-0.250658	-5.601386
22	0.943488	15000	-0.250137	-5.851523
23	0.941076	15000	-0.250058	-6.101581
24	0.938667	15000	-0.249452	-6.351032
25	0.936262	15000	-0.249223	-6.600256
26	0.933861	15000	-0.248836	-6.849091
27	0.931463	15000	-0.248503	-7.097595
28	0.929069	15000	-0.248136	-7.345731
29	0.926679	15000	-0.247996	-7.593727
30	0.924293	15000	-0.247413	-7.841140
31	0.921910	15000	-0.247096	-8.088236
32	0.919531	15000	-0.246501	-8.334736
33	0.917155	15000	-0.246459	-8.581195
34	0.914783	15000	-0.245970	-8.827166
35	0.912415	15000	-0.245569	-9.072734
36	0.910051	15000	-0.245085	-9.317820
37	0.907690	15000	-0.245136	-9.562956
38	0.905333	15000	-0.244560	-9.807516
39	0.902980	15000	-0.244101	-10.051617
40	0.900630	15000	-0.243668	-10.295284
41	0.898284	15000	-0.243231	-10.538515
42	0.895942	15000	-0.242993	-10.781508
