phenotype	gene	geweke_pheno	conv_pheno	geweke_sex	conv_sex	geweke_interaction	conv_interaction	geweke_d15N	conv_d15N	geweke_d13C	conv_d13C	ESS_pheno	ESS_sex	ESS_interaction	ESS_d15N	ESS_d13C	mean_pheno	p_pheno	HPD_low_pheno	HPD_high_pheno	mean_sex	p_sex	HPD_low_sex	HPD_high_sex	mean_interaction	p_interaction	HPD_low_interaction	HPD_high_interaction	mean_d15N	p_d15N	HPD_low_d15N	HPD_high_d15N	mean_d13C	p_d13C	HPD_low_d13C	HPD_high_d13C
Pair_bonding	OT	-0.257273376	1	-0.056029365	1	-0.450494814	1	1.040257102	1	-0.674615466	1	9900	9900	9900	10233.83784	9900	0.28625735	0.115757576	-0.068321001	0.636502257	0.623812149	0	0.298538223	0.934646643	-0.492359692	0.023232323	-0.907304998	-0.066956068	0.017498663	0.835555556	-0.160833439	0.18727415	-0.073310692	0.395353535	-0.237413733	0.0939455
Pair_bonding	VT	0.712929341	1	0.822893156	1	-0.353043172	1	-1.812816692	1	-1.038406761	1	9900	11254.38445	12223.49265	9900	9900	-0.009276241	0.960808081	-0.377712266	0.372195405	0.395649401	0.01030303	0.093450229	0.695571463	-0.174915917	0.379393939	-0.550131505	0.238447649	-0.000472109	0.996969697	-0.202259852	0.185302194	-0.069312132	0.453535354	-0.254133476	0.116070731
Pair_bonding	OTRa	1.128930981	1	1.312789853	1	-0.849847477	1	-0.215322279	1	1.315188209	1	9900	10446.92378	10318.90864	9900	10232.35066	0.403796326	0.049090909	-0.008841382	0.787603416	-0.234016768	0.032929293	-0.446010245	-0.020945673	0.042231035	0.767676768	-0.233302604	0.3154276	-0.125418909	0.264444444	-0.340487482	0.099663705	-0.113434394	0.287474747	-0.324225031	0.09407796
Pair_bonding	OTRb	-1.320223288	1	0.362767161	1	-0.366519061	1	0.517626727	1	-1.07490244	1	10463.92948	10268.31569	9900	9900	9288.288013	0.318700596	0.128282828	-0.095733661	0.717108097	-0.031014241	0.775959596	-0.237513467	0.192234793	-0.000703421	0.999393939	-0.274139772	0.283927572	-0.012393584	0.912121212	-0.235647967	0.225970086	-0.038220109	0.723434343	-0.249720151	0.174411317
Pair_bonding	VTR1Aa	0.593662583	1	-0.346866106	1	0.982817798	1	-0.00487087	1	0.877397334	1	9900	9900	9900	10858.64877	10510.55665	0.188456665	0.265858586	-0.142130308	0.517893127	-0.131652405	0.362020202	-0.411937011	0.154562922	-0.020718031	0.913737374	-0.380623201	0.360970385	-0.085831615	0.301414141	-0.248105786	0.081719461	0.187989468	0.027272727	0.026432834	0.348636997
Pair_bonding	VTR1Ab	-0.21613304	1	-0.075477714	1	0.236916656	1	0.191647405	1	-1.469436363	1	9900	9900	9900	9613.359281	9900	0.262888539	0.145656566	-0.088746856	0.60283025	0.021632027	0.873737374	-0.264936053	0.293768078	-0.065768242	0.725050505	-0.42965233	0.30040599	-0.087291242	0.306262626	-0.254446503	0.089654747	-0.107763204	0.197373737	-0.264754641	0.057068781
Pair_bonding	VTR2Aa	0.174868935	1	1.556607134	1	-1.876129003	1	-0.291916817	1	0.361809769	1	9900	9900	9900	9900	11503.4727	-0.137901542	0.513939394	-0.550917351	0.295103314	-0.335283154	0	-0.521991783	-0.15663696	0.420201804	0.000606061	0.180286894	0.652521271	-0.200938739	0.103636364	-0.447741423	0.034018776	-0.098500116	0.373737374	-0.325977583	0.113812472
Pair_bonding	VTR2Ab	0.92388992	1	0.442341283	1	0.247588951	1	-0.6528907	1	0.192411987	1	10216.30102	9900	9900	9900	9900	-0.229053261	0.222626263	-0.601322364	0.132608913	0.218668644	0.113535354	-0.038795866	0.493913731	-0.334075403	0.062222222	-0.657824548	0.036747838	-0.100593323	0.309494949	-0.291928156	0.087520795	-0.045303584	0.629292929	-0.229845336	0.133369041
Pair_bonding	VTR2Ba	1.323301081	1	0.824463723	1	-0.803418832	1	0.252533364	1	-0.250767268	1	9900	10312.44021	9900	10334.25432	9900	0.188274722	0.34969697	-0.202997507	0.580686839	-0.072835308	0.597373737	-0.340229791	0.194701509	-0.049846106	0.773737374	-0.385139392	0.313428312	-0.016932093	0.866868687	-0.234048993	0.197033337	-0.002010194	0.981818182	-0.204572399	0.19195287
Pair_bonding	VTR2Bb	-0.162684455	1	-0.43273628	1	0.72718062	1	0.88360155	1	1.714915093	1	9900	10385.89293	9900	10258.59128	9900	0.501674124	0.010909091	0.134882078	0.898002853	0.196063749	0.181010101	-0.08732979	0.487258299	-0.155494614	0.411111111	-0.538080629	0.215293558	-0.15330691	0.118585859	-0.351401911	0.031701098	-0.205579132	0.030505051	-0.388067628	-0.018977711
