phenotype	gene	geweke_pheno	conv_pheno	geweke_sex	conv_sex	geweke_interaction	conv_interaction	geweke_d15N	conv_d15N	geweke_d13C	conv_d13C	ESS_pheno	ESS_sex	ESS_interaction	ESS_d15N	ESS_d13C	mean_pheno	p_pheno	HPD_low_pheno	HPD_high_pheno	mean_sex	p_sex	HPD_low_sex	HPD_high_sex	mean_interaction	p_interaction	HPD_low_interaction	HPD_high_interaction	mean_d15N	p_d15N	HPD_low_d15N	HPD_high_d15N	mean_d13C	p_d13C	HPD_low_d13C	HPD_high_d13C
Sex_caregiver	OT	-0.426312523	1	-0.616673523	1	1.151539714	1	-0.148600799	1	-1.15559465	1	10861.48199	9900	9900	9431.5535	9900	0.450201917	0.012929293	0.109840594	0.821163886	0.577944232	0	0.335715931	0.827601278	-0.612425394	0.001616162	-1.01430237	-0.241806294	-0.016255507	0.83979798	-0.171098109	0.14987593	-0.061809793	0.438787879	-0.219615231	0.099188766
Sex_caregiver	VT	-1.274535771	1	-0.008995923	1	-0.002650386	1	-0.004804065	1	-1.794034822	1	9900	9617.165043	9900	9900	9900	0.212357185	0.276969697	-0.177870475	0.600601513	0.399038835	0.001414141	0.169258124	0.645459375	-0.315976029	0.095959596	-0.682968385	0.055376191	-0.045423601	0.625858586	-0.23870924	0.129668012	-0.053005102	0.548888889	-0.22857091	0.126248739
Sex_caregiver	OTRa	-0.076689521	1	-1.098403374	1	1.372072317	1	-0.151522107	1	-0.755989462	1	9900	9900	10689.05599	9900	9900	0.318766042	0.151111111	-0.091548945	0.774298213	-0.138364848	0.11979798	-0.305053771	0.042961808	-0.062708635	0.649494949	-0.333391928	0.225483018	-0.032762349	0.760808081	-0.253160898	0.17299848	-0.102596593	0.330707071	-0.304009591	0.10716215
Sex_caregiver	OTRb	0.567188134	1	-0.31266573	1	0.252918124	1	-0.758381192	1	-0.992385981	1	9900	9613.610415	9900	10141.2488	9900	0.419609539	0.061414141	-0.023473671	0.861282549	-0.102900235	0.237979798	-0.270661654	0.07176518	0.092431958	0.506464646	-0.168738093	0.357173485	-0.097856844	0.388686869	-0.314526571	0.138284764	-0.090886442	0.411515152	-0.305212694	0.127505733
Sex_caregiver	VTR1Aa	-0.703666519	1	0.896142127	1	-1.077012095	1	0.395336969	1	0.688591717	1	8984.486841	9900	9900	9900	9900	0.077927749	0.655757576	-0.274050102	0.436120558	-0.071467717	0.542828283	-0.301982392	0.153942301	-0.154415449	0.393131313	-0.513374481	0.199119592	-0.069552845	0.403030303	-0.221666344	0.103193628	0.16465859	0.040808081	0.006825942	0.319653388
Sex_caregiver	VTR1Ab	0.505249392	1	-1.522875925	1	-0.004600274	1	-1.910492346	1	-1.6453377	1	9900	9900	9900	9900	10678.94834	0.128894377	0.481212121	-0.22870346	0.490807606	0.023434216	0.843838384	-0.210417134	0.238314325	-0.145526644	0.420808081	-0.484356074	0.22011812	-0.055220157	0.521616162	-0.215387674	0.126481346	-0.120015034	0.150707071	-0.286017861	0.045345222
Sex_caregiver	VTR2Aa	-1.140220528	1	-0.160361674	1	-0.570343082	1	-1.928260264	1	-2.574009406	0	9900	9900	9900	9900	9900	-0.120667239	0.616565657	-0.619972952	0.321460024	-0.181556206	0.014949495	-0.326104542	-0.033482111	0.272690693	0.023838384	0.046667816	0.514262681	-0.123026481	0.308888889	-0.361021144	0.121937103	-0.06444071	0.57030303	-0.300100773	0.164092506
Sex_caregiver	VTR2Ab	-0.149421544	1	-0.290008542	1	-0.582276177	1	-0.029149808	1	1.797249836	1	9900	9900	9900	9900	9900	0.063370662	0.755757576	-0.312429513	0.459651902	0.123734297	0.264444444	-0.09335238	0.33564309	-0.276029314	0.105656566	-0.613707161	0.066364861	-0.123030618	0.193131313	-0.310028962	0.069174399	-0.071321961	0.443434343	-0.251134008	0.115176032
Sex_caregiver	VTR2Ba	-0.77235759	1	-1.505449277	1	0.323231923	1	-0.785551905	1	-0.482096367	1	9900	9900	9900	9900	9900	0.159226363	0.455353535	-0.252777854	0.5849792	-0.024949763	0.825454545	-0.243693903	0.186323739	-0.080353233	0.631717172	-0.411753912	0.262615248	-0.013668765	0.891313131	-0.212941517	0.191690164	0.006164921	0.951515152	-0.188404421	0.20571926
Sex_caregiver	VTR2Bb	-0.68778062	1	-1.593347385	1	-0.328735733	1	-0.808452559	1	0.089484813	1	10459.2321	9900	9900	10253.34377	10740.23294	0.445047083	0.026666667	0.049914583	0.83967816	0.164518769	0.164444444	-0.064958619	0.396623551	-0.166851107	0.370909091	-0.53979194	0.190516349	-0.113256449	0.231919192	-0.303162351	0.069921203	-0.231380818	0.014141414	-0.413216302	-0.043925754
