,ID,sex,d15N,d13C
Neospl,88-05-a,NA,5.817516413,-22.50409346
Tresti,IZG2,M,6.843704004,-20.25689492
Batleo,KCC7,NA,8.342877424,-20.92421619
Neogra,89-07-a,NA,5.639581769,-21.72942695
Benhor,ILI2,F,6.947720947,-20.32339622
Xennas,MOB4,F,8.259643688,-20.73276674
Neogra,89-07-c,NA,6.119706247,-22.58114098
Neogra,89-07-d,NA,5.217109765,-21.75858193
HemstZ,IXC9,M,7.940886882,-20.42263575
Telbra,JBA7,M,7.457958876,-11.86732695
#N/A,88-06,#N/A,6.36225258,-21.47327661
#N/A,88-10,#N/A,4.952690933,-18.43343208
Lammel,89-28-a,NA,5.568010188,-17.66684508
Lammel,89-28-c,NA,5.188282187,-17.61164066
Neohel,89-15-b,NA,6.098831326,-19.19684752
Neohel,89-15-c,NA,5.861254481,-18.07097563
Neohel,89-15-d,NA,6.0779564,-18.43134903
#N/A,89-02,#N/A,5.005375953,-19.93001557
Neomar,89-05-a,NA,5.058060941,-20.62148681
Neomar,89-05-b,NA,5.383116659,-20.76415004
Neomar,89-05-c,NA,4.964619619,-20.43300222
Neogra,89-07-b,NA,5.600813836,-22.10635403
Lammel,88-11-b,NA,7.633621512,-19.39055805
Neohel,93-43-b,NA,6.748933634,-19.0343783
Neogra,88-19,NA,6.578953231,-22.44995166
Neopec,91-06-b,NA,6.83143862,-19.65195834
Neobue,IOA7,NA,6.664454678,-22.44687091
Batmin,JEF7,NA,7.323656216,-19.92862211
Xenpap,IVH7,F,6.577934184,-18.57281643
Neomar,89-16-a,NA,5.523277919,-21.36498383
Neomar,89-16-b,NA,5.597831687,-20.17161832
Neogra,89-17,NA,6.586905538,-21.61593009
Neospl,89-30-a,NA,6.864241785,-18.2188758
Neospl,89-30-b,NA,6.469608935,-18.70943351
Neospl,89-30-c,NA,6.762850143,-18.39906166
Neospl,89-30-d,NA,6.321496892,-19.01771467
Neospl,89-30-e,NA,6.347341965,-19.62696412
Neonve,89-31-a,NA,8.543150652,-20.29241794
Neonve,89-31-c,NA,9.563998635,-20.64439634
XenpaK,90-01-a,NA,6.479549331,-16.2116582
XenpaK,90-01-b,NA,6.333425388,-15.85330406
XenpaK,90-02-a,NA,5.985510235,-15.56890522
