spp	tribe	tissue	sex	OT	OTRa	OTRb	VT	VTR1Aa	VTR1Ab	VTR2Aa	VTR2Ab	VTR2Ba	VTR2Bb
Altcom	Lamprologini	liver	M	0	0.2770873	0	0	0.4855162	0	0.328344	0	0.6653066	0
Altcom	Lamprologini	testes	M	2.729148	0.8880079	3.54804	3.35051	5.44593	0.4503567	6.839788	0.6728874	7.729121	0.7762313
Altcom	Lamprologini	gills	M	0	2.504267	24.06159	0	22.30573	0.8466991	2.47293	0.2108452	2.004309	0
Altcom	Lamprologini	lpj	M	0.9276526	4.074823	3.101138	1.138857	12.69327	2.066563	11.26673	0.9148725	2.17421	0.7915358
Altcom	Lamprologini	brain	M	306.3766	10.97488	1.174559	136.3044	7.211381	1.739361	3.860878	2.079053	8.234842	5.995899
Altcom	Lamprologini	liver	M	0	0	0.4364603	0	2.009785	0	1.925496	0	0	0
Altcom	Lamprologini	testes	M	3.506309	0.1711319	3.321113	0.8609222	4.198038	0.347161	4.562744	0.1729002	4.109002	0
Altcom	Lamprologini	lpj	M	0	2.596236	2.963792	0	17.05935	0.438897	9.485868	0.2185884	3.636354	0.7564795
Altcom	Lamprologini	gills	M	0	1.703248	19.05494	0	22.9803	3.800759	2.522902	0.1720847	2.044811	0
Altcom	Lamprologini	brain	M	74.29996	13.12165	1.634108	26.40471	6.688567	0.7259671	3.251144	1.928325	4.00986	2.502543
Altcom	Lamprologini	liver	F	0	0	0.1088974	0	2.005775	0	0.5651923	0	0	0.3335401
Altcom	Lamprologini	ovaries	F	4.70376	1.913131	0.3275968	0	0	0	0.1133515	0.4832247	0	0.3344638
Altcom	Lamprologini	gills	F	0	5.272049	42.59195	0	18.47552	3.702102	2.282665	0.2048663	4.381813	0.7089905
Altcom	Lamprologini	lpj	F	0	1.228535	4.007034	0	11.37833	0	15.49381	0.3546368	5.478202	0
Altcom	Lamprologini	brain	F	64.88873	6.26038	3.783536	27.78919	2.581065	3.36174	5.236553	1.116188	7.95792	1.287615
Altcom	Lamprologini	liver	F	0	0.1897059	0.2165631	0	0.6648109	0	0.6743955	0	0	0
Altcom	Lamprologini	ovaries	F	3.395896	1.065491	0	0	0.207441	0	0.3507194	0.1196111	0	2.06972
Altcom	Lamprologini	gills	F	0	3.202429	43.46347	0	25.56278	4.330999	4.743534	1.078506	3.417451	1.244146
Altcom	Lamprologini	lpj	F	0	4.757865	5.214191	0	16.34013	0.1930376	15.67362	0	1.370878	0
Altcom	Lamprologini	brain	F	202.3018	14.65132	2.545193	78.51416	5.022833	1.938385	5.661386	3.21798	7.647585	2.227324
Altcom	Lamprologini	liver	M	0	0.1276493	0.145721	0	1.565683	0	1.210099	0	0	0.4463267
Altcom	Lamprologini	testes	M	1.332651	0.1626063	2.598777	0	4.558738	0.1649329	0.9634295	0.8214323	0.7808592	0
Altcom	Lamprologini	gills	M	0	0.5884688	21.94481	0	26.4655	2.188591	1.16221	0	0.4709855	0
