spp	Tribe	id	Pair_bonding	Sex_caregiver	sex	OT	VT	OTRa	OTRb	VTR1Aa	VTR1Ab	VTR2Aa	VTR2Ab	VTR2Ba	VTR2Bb	d15N	d13C
Altcom	Lamprologini	ISB1_JME3	0	0	M	8.26386352933519	7.10123404800896	3.58193929370708	1.12072285244543	3.03762487660761	1.45383940061475	2.28121692532095	1.62248670082836	3.20708727817941	2.8065094611791	-0.389610035730526	-0.12986059114369
Altcom	Lamprologini	ISD2_JNI6	0	0	F	7.66747917839356	6.31313989544406	3.96821243109618	1.82586416979586	2.5904422566941	1.55502343646643	2.73582238259558	2.07655225445611	3.1122972893991	1.69033842124878	-0.389610035730526	-0.12986059114369
Altcom	Lamprologini	ISC9_JNH5	0	0	F	6.04195981408785	4.84745529332597	2.86004505920843	2.25807745580606	1.84038870528971	2.1249037745889	2.64074885859781	1.08146780071261	3.16316378205445	1.19384427050463	-0.389610035730526	-0.12986059114369
Altcom	Lamprologini	ISB5_JMH6	0	0	M	6.23457719341249	4.77635196287895	3.81983676053216	1.39731449816474	2.94271473282408	0.787404964447793	2.08785112855302	1.55007567994308	2.32477028802571	1.8084027624351	-0.389610035730526	-0.12986059114369
Altcom	Lamprologini	MUF8_LTB1	0	0	F	8.92242979341528	7.06670704839874	3.81277133605121	1.56588958440319	2.20514849796357	0.431254631028911	2.45347701725117	1.25590010045194	2.57252155237284	0	-0.389610035730526	-0.12986059114369
Altcom	Lamprologini	MUF7_LSI8	0	0	M	8.44986094207904	6.69365421679357	3.33443627046747	1.93702530655301	3.12432863134215	1.693519072788	2.51889060747211	1.41644362181934	1.86579809016313	0.972927068308566	-0.389610035730526	-0.12986059114369
Auldew	Ectodini	MUG1_LTD3	0	0	M	6.96835345533763	6.43758014525461	3.1976660164934	2.16977078513023	1.99426906784901	1.02606489417288	3.47125900796111	2.25865941857849	2.74950637887103	2.79800736810241	-0.350771588963017	-0.886544621646732
Auldew	Ectodini	LOC1_NJE4	0	0	F	6.86400780909521	6.37359027270764	2.92141785901184	2.19367745270513	2.69751874595763	1.18299351604618	2.97538806611076	1.68464641158652	3.21265399937667	2.09918409402344	-0.350771588963017	-0.886544621646732
Auldew	Ectodini	LNA1_LWG6	0	0	F	5.00115864990782	4.12973306759347	3.22164078755553	2.41186468246011	3.23299606767872	0.822091183142761	3.3178705854366	1.92783654556871	3.41895144673438	1.86683796766525	-0.350771588963017	-0.886544621646732
Auldew	Ectodini	MUI9_LWF5	0	0	M	7.77628365560147	6.07017741649464	3.37822485911622	2.82363524432299	2.10213335848217	1.68895287216981	3.04240970530139	2.35459772043238	2.46284388196696	1.06717816484998	-0.350771588963017	-0.886544621646732
Auldew	Ectodini	MUI2_LVG6	0	0	M	8.20473301044249	7.05527375761018	3.1750745569537	3.16136273603973	2.09894399918292	1.99540202511608	3.65308754043581	2.95654849782525	2.89309364643553	1.92920660681673	-0.350771588963017	-0.886544621646732
Auldew	Ectodini	MUE4_LRE4	0	0	F	7.37811274617154	6.5252976341209	3.43958510841243	2.687223094401	2.83270655243604	1.19478994247515	3.82556076113728	2.37105808386438	2.97564742662198	2.71254559887723	-0.350771588963017	-0.886544621646732
Batfas	Bathybatini	LNI8_MZF5	0	0	F	7.19310838479026	7.89068926977386	2.51033079199765	2.60748845405228	1.95637750482931	1.41556993582404	3.8013697667505	1.75404172813588	3.3252776039473	0.864923506475298	0.695081865821326	-0.770243761522719
Batfas	Bathybatini	LNB1_MAH7	0	0	M	7.40155196807821	7.75573550414191	1.20730128786284	1.80348826873261	0.819325247233915	0.52866562853849	2.74152285941499	1.86598134977202	3.05900442607487	1.33668557231847	0.695081865821326	-0.770243761522719
Batfas	Bathybatini	OME6_QDI8	0	0	F	8.31000694975253	8.91268908104962	2.21009237698462	1.87254354056908	2.34641600776595	1.75062193923192	3.97599512399169	1.03351603584839	2.42072599717956	0	0.695081865821326	-0.770243761522719
Batfas	Bathybatini	ITH3_JRB6	0	0	F	7.79980290533957	8.5355253961713	2.56591321817214	2.36165411814872	1.89650630403342	1.21014444596511	3.59089658799998	2.22147096634702	3.53263613744614	1.49123741509089	0.695081865821326	-0.770243761522719
Batfas	Bathybatini	ITH5_JRD8	0	0	F	7.65984180651136	8.39166376821896	2.51933305847499	2.60063965839024	1.84467809954749	1.32208909067053	3.45819194229038	1.76172695130654	3.13966938253499	1.02456649086219	0.695081865821326	-0.770243761522719
Batfas	Bathybatini	OME5_QDH7	0	0	F	8.51143048178155	9.1713409527437	3.07303699027396	2.14613774004398	2.41444406891079	1.48069941647734	3.42339624279286	1.27920799091661	2.96029873748827	1.51197752275406	0.695081865821326	-0.770243761522719
