chr	pos	Altcom	Auldew	Batfas	Batgra	Benhor	Boumic	Calmac	Calple	Chabri	Ctehor	Cyafur	Cphgib	Cyplep	Cypmic	Cypdwj	Enamel	Erecya	Eremar	Gnapfe	Hapmic	Intloo	Juldic	Julorn	Julreg	Lamkun	Lamlem	Lamoce	Lepatt	Lepelo	Lchaur	Loblab	Neobre	Neobue	Neocau	Neocyg	Neocyl	Neofas	Neofur	Neomod	Neomul	Neonig	Neopul	Neosav	Neotet	Neotoa	Neowal	Ophven	PcybrN	Pcynig	Permic	Peteph	Petfam	Petfas	Petmac	Petpol	Plepar	Plestr	Pscbab	Pscple	Simdia	Spaery	Tanirs	TeldhS	TelteS	Telvit	Tremar	Trenig	Tromoo	Tronig	Varmoo	Xenbou	Xennas	Xenspi
NC_031970.2	22319492	8	6	4	4	3	0	4	8	11	8	6	5	7	3	9	6	8	16	6	20	14	4	11	16	9	5	12	10	13	7	4	17	20	15	5	9	14	6	9	16	11	5	13	7	8	14	9	7	9	10	4	17	5	4	10	5	4	13	11	12	16	12	4	12	9	5	9	10	14	10	6	3	4
NC_031970.2	22319493	10	6	4	4	5	0	4	8	11	8	6	5	7	3	8	7	8	16	6	20	14	4	11	16	9	5	12	10	13	7	4	17	20	15	5	9	14	6	9	16	11	5	13	7	8	14	9	7	9	10	4	17	5	4	10	5	4	13	11	12	16	12	4	12	10	5	9	10	15	10	6	3	4
NC_031970.2	22319494	10	6	4	4	5	0	4	8	11	8	6	5	6	3	8	8	8	16	6	20	14	4	11	15	10	5	12	11	13	8	4	17	20	15	5	9	14	6	9	16	11	5	13	7	8	14	9	7	9	9	4	17	6	4	10	5	3	13	11	12	16	12	4	12	10	4	8	10	15	10	7	3	4
NC_031970.2	22319495	12	6	4	4	5	0	4	8	11	8	6	5	6	3	6	8	8	16	6	20	14	3	11	15	10	5	12	11	13	8	4	17	20	15	5	9	12	6	9	16	11	6	13	7	8	14	9	7	9	8	4	16	6	4	10	5	3	13	12	11	16	11	4	12	10	4	8	9	15	10	7	2	4
NC_031970.2	22319496	12	6	4	4	5	0	4	8	11	8	6	5	6	3	6	8	8	15	5	20	14	3	11	15	10	5	12	11	13	8	3	17	20	15	5	9	12	6	9	16	11	6	13	7	8	14	9	7	9	8	4	16	6	4	10	5	3	13	12	11	16	11	4	12	10	4	8	9	15	10	7	2	4
NC_031970.2	22319497	12	6	4	4	5	0	4	8	10	8	5	5	6	3	6	8	8	15	5	21	14	3	11	15	10	5	12	11	13	7	3	17	20	15	5	9	12	6	9	16	11	6	12	7	8	14	7	7	7	8	4	16	6	4	9	5	3	13	12	11	17	11	5	12	10	4	8	9	15	10	7	2	4
NC_031970.2	22319498	12	6	4	4	5	0	4	8	10	8	5	5	6	3	6	8	8	14	5	21	14	3	11	15	10	4	12	11	13	7	3	17	20	14	5	9	12	6	9	16	11	6	12	7	8	14	7	7	7	7	4	15	6	3	9	5	3	13	12	11	17	11	5	12	10	4	8	9	15	10	7	2	4
NC_031970.2	22319499	12	6	4	4	5	0	4	8	10	8	5	5	6	3	6	8	8	14	5	21	14	3	11	15	10	4	12	11	13	7	3	17	20	14	5	9	12	6	9	16	11	6	12	7	8	14	7	7	7	7	4	15	6	3	9	5	3	13	12	11	17	11	5	12	11	4	8	9	15	10	7	2	4
NC_031970.2	22319500	12	6	4	4	5	0	4	8	10	8	5	5	7	3	6	8	8	13	5	21	14	4	11	15	10	4	12	11	13	7	4	19	20	14	5	9	12	6	9	16	11	6	12	7	8	14	7	7	7	7	4	15	6	3	9	5	3	13	12	11	17	11	5	12	11	4	8	9	15	10	8	2	4
NC_031970.2	22319501	12	6	5	4	5	0	4	8	10	11	5	5	7	3	7	8	8	13	5	21	14	4	11	15	10	4	14	12	13	8	4	19	20	14	5	9	12	6	10	16	11	6	12	7	8	14	7	7	7	7	4	16	6	3	10	5	3	13	12	12	17	11	5	12	12	4	8	10	16	11	8	2	4
