chr	pos	Altcom	Auldew	Batfas	Batgra	Benhor	Boumic	Calmac	Calple	Chabri	Ctehor	Cyafur	Cphgib	Cyplep	Cypmic	Cypdwj	Enamel	Erecya	Eremar	Gnapfe	Hapmic	Intloo	Juldic	Julorn	Julreg	Lamkun	Lamlem	Lamoce	Lepatt	Lepelo	Lchaur	Loblab	Neobre	Neobue	Neocau	Neocyg	Neocyl	Neofas	Neofur	Neomod	Neomul	Neonig	Neopul	Neosav	Neotet	Neotoa	Neowal	Ophven	PcybrN	Pcynig	Permic	Peteph	Petfam	Petfas	Petmac	Petpol	Plepar	Plestr	Pscbab	Pscple	Simdia	Spaery	Tanirs	TeldhS	TelteS	Telvit	Tremar	Trenig	Tromoo	Tronig	Varmoo	Xenbou	Xennas	Xenspi
NC_031984.2	20266045	1	12	8	15	4	6	6	4	10	10	6	8	15	11	7	2	6	7	5	11	8	5	10	1	7	16	3	4	4	2	6	12	2	3	4	6	9	4	5	16	9	1	3	3	19	14	8	7	13	4	2	2	2	8	3	7	7	9	4	7	6	6	3	2	2	13	10	5	1	8	8	4	2
NC_031984.2	20266046	1	12	9	16	4	6	6	4	10	10	6	8	15	11	7	2	6	7	5	12	8	5	10	1	7	18	3	5	4	2	6	13	2	4	4	6	9	5	5	15	9	1	3	3	19	14	8	7	13	4	2	2	3	8	3	7	7	9	4	7	6	6	3	2	2	14	10	5	1	8	8	4	2
NC_031984.2	20266047	1	12	9	16	4	6	6	5	10	10	6	8	15	11	7	2	6	7	5	12	8	5	10	2	7	18	3	5	5	2	6	13	3	4	5	6	9	5	6	15	9	1	3	3	20	14	8	7	13	4	2	2	3	8	3	7	7	9	4	7	6	6	3	2	2	15	10	5	1	8	8	4	2
NC_031984.2	20266048	1	13	9	17	4	6	7	6	10	10	6	8	16	11	7	2	6	7	5	12	8	5	10	2	7	19	3	5	5	2	6	13	3	4	5	6	9	5	7	15	9	1	3	3	20	14	8	7	13	4	2	2	3	8	4	7	7	10	4	7	6	6	3	2	2	15	10	5	1	8	8	4	3
NC_031984.2	20266049	1	13	9	17	5	6	7	6	10	10	6	8	16	11	7	2	6	7	5	12	8	5	10	2	8	19	3	5	5	2	6	13	3	5	6	6	9	5	8	15	10	1	3	3	20	14	8	7	13	6	2	2	3	8	6	7	7	10	4	7	6	6	4	2	2	15	10	5	1	8	8	4	4
NC_031984.2	20266050	1	13	9	17	5	6	7	6	10	9	6	8	16	11	7	2	6	7	5	12	8	5	10	2	8	19	3	5	5	2	6	13	3	5	6	6	9	5	8	15	10	1	3	3	20	14	8	7	13	6	2	2	3	8	6	5	7	9	4	7	6	6	4	2	2	15	10	5	1	8	8	2	4
NC_031984.2	20266051	1	13	9	17	5	6	7	6	10	9	6	8	16	11	7	2	6	7	5	12	8	5	10	2	8	19	3	5	5	2	6	12	3	5	6	6	9	5	8	15	10	1	3	3	20	14	8	7	13	6	2	1	3	8	6	5	7	9	4	7	6	6	4	2	2	15	10	5	1	8	8	2	4
NC_031984.2	20266052	1	13	9	17	6	6	7	6	10	9	6	8	16	11	7	2	6	7	5	12	8	5	10	2	8	19	3	5	5	2	6	12	3	5	6	5	9	5	8	15	10	1	3	3	20	14	8	7	13	6	3	1	3	8	6	5	7	9	4	7	6	6	4	2	2	15	10	6	1	8	8	2	4
NC_031984.2	20266053	1	13	9	17	6	6	7	7	10	8	6	8	16	11	7	2	6	7	5	12	8	5	10	2	7	19	3	5	5	2	6	12	3	5	6	5	9	5	8	14	10	1	3	3	19	14	8	7	13	6	3	1	3	8	6	5	7	9	4	7	6	6	4	2	2	15	10	6	1	8	8	2	4
NC_031984.2	20266054	1	13	9	16	7	6	7	7	10	8	6	8	16	11	7	2	6	7	5	12	8	5	10	2	7	19	3	4	5	2	6	12	3	5	6	5	8	5	8	14	10	1	3	3	19	14	8	7	13	6	3	1	3	8	6	5	7	9	4	7	6	6	4	2	3	15	10	6	1	8	8	2	4
