chr	pos	Altcom	Auldew	Batfas	Batgra	Benhor	Boumic	Calmac	Calple	Chabri	Ctehor	Cyafur	Cphgib	Cyplep	Cypmic	Cypdwj	Enamel	Erecya	Eremar	Gnapfe	Hapmic	Intloo	Juldic	Julorn	Julreg	Lamkun	Lamlem	Lamoce	Lepatt	Lepelo	Lchaur	Loblab	Neobre	Neobue	Neocau	Neocyg	Neocyl	Neofas	Neofur	Neomod	Neomul	Neonig	Neopul	Neosav	Neotet	Neotoa	Neowal	Ophven	PcybrN	Pcynig	Permic	Peteph	Petfam	Petfas	Petmac	Petpol	Plepar	Plestr	Pscbab	Pscple	Simdia	Spaery	Tanirs	TeldhS	TelteS	Telvit	Tremar	Trenig	Tromoo	Tronig	Varmoo	Xenbou	Xennas	Xenspi
NC_031970.2	23097670	0	3	0	1	2	1	0	0	0	2	0	3	1	1	7	0	0	1	0	6	5	0	0	2	1	1	1	0	0	0	5	0	0	1	1	1	0	0	2	2	1	0	1	1	0	2	1	2	0	6	5	5	3	1	3	0	4	2	1	4	0	0	1	1	0	1	0	1	2	1	0	0	0
NC_031970.2	23097671	0	3	0	1	2	1	0	0	0	2	0	3	1	1	7	0	0	1	0	6	5	0	0	2	1	1	1	0	0	0	5	0	0	1	1	1	0	0	2	2	1	0	1	1	0	2	1	2	0	6	4	5	3	1	3	0	4	2	1	4	0	0	1	1	0	1	0	1	2	1	0	0	0
NC_031970.2	23097672	0	3	0	1	2	1	0	0	0	2	0	3	1	1	7	0	0	1	0	6	5	0	0	2	1	1	1	0	0	0	5	0	0	1	1	1	0	0	2	2	1	0	1	1	0	2	1	2	0	5	4	5	3	1	3	0	4	2	1	4	0	0	1	1	0	1	0	1	2	1	0	0	0
NC_031970.2	23097673	0	3	0	1	2	1	0	0	0	2	0	3	1	1	7	0	0	1	0	6	5	0	0	2	1	1	1	0	0	0	5	0	0	1	1	1	0	0	2	2	1	0	1	1	0	2	1	2	0	5	4	5	3	1	3	0	4	2	1	4	0	0	1	1	0	1	0	1	2	1	0	0	0
NC_031970.2	23097674	0	3	0	1	2	1	0	0	0	2	0	3	1	1	7	0	0	1	0	6	5	0	0	2	1	1	1	0	0	0	5	0	0	1	1	1	0	0	2	2	1	0	1	1	0	2	1	2	0	5	4	5	3	1	3	0	4	2	1	4	0	0	1	1	0	1	0	1	2	1	0	0	0
NC_031970.2	23097675	0	3	0	1	2	1	0	0	0	2	0	3	1	1	7	0	0	1	0	6	5	0	0	2	1	1	1	0	0	0	5	0	0	1	1	1	0	0	2	2	1	0	1	1	0	2	2	2	0	5	4	5	3	1	3	0	4	2	1	4	0	0	1	1	0	1	0	1	2	1	0	0	0
NC_031970.2	23097676	1	3	0	1	2	1	0	0	0	2	0	3	1	1	7	0	0	1	0	6	5	0	0	2	1	1	1	0	0	0	5	0	0	1	1	1	0	0	2	2	1	0	1	1	0	2	2	2	0	5	4	5	3	1	3	0	4	2	1	4	0	0	1	1	0	1	0	1	2	1	0	0	0
NC_031970.2	23097677	1	3	0	1	2	1	0	0	0	2	0	3	1	1	7	0	0	1	0	6	5	1	0	2	1	1	1	0	0	0	5	0	0	1	1	1	0	0	2	2	1	0	1	1	0	2	2	2	0	5	4	5	3	1	3	0	4	2	1	4	0	0	1	1	0	0	0	1	2	1	0	0	0
NC_031970.2	23097678	1	3	0	1	2	1	0	0	0	2	0	3	1	1	7	0	0	1	0	6	5	1	0	2	1	1	1	0	0	0	5	0	0	1	1	1	0	0	2	2	1	0	1	1	0	3	2	2	0	5	4	6	4	1	3	0	4	2	1	4	0	0	2	1	0	0	0	1	2	1	0	0	0
NC_031970.2	23097679	1	3	0	1	2	1	0	0	0	2	0	3	1	1	7	0	0	1	0	6	5	1	0	2	0	1	1	0	0	0	5	0	0	1	1	1	0	0	2	2	1	0	1	1	0	3	2	2	0	5	4	6	4	1	3	0	4	2	1	4	0	0	2	1	0	0	0	1	2	1	0	0	0
NC_031970.2	23097680	1	3	0	1	2	1	0	0	0	2	0	3	1	1	7	0	0	1	0	6	6	2	0	2	0	1	1	0	0	0	5	0	0	1	1	1	0	0	2	2	1	0	1	1	0	3	2	2	0	6	4	6	5	1	2	1	4	2	1	4	0	0	2	1	0	0	0	1	2	2	0	0	0
