spp	dS	+-SE
Altcal	0.0840	0.0172
Altcom	0.0677	0.0154
Altshe	0.0705	0.0156
Arcstr	0.0733	0.0163
Asplep	0.0738	0.0164
Astbur	0.0729	0.0162
Astfla	0.0780	0.0169
Astpal	0.0681	0.0159
Auldew	0.0834	0.0178
Baicen	0.0654	0.0152
Batfas	0.0860	0.0176
Batfer	0.0859	0.0176
Batgra	0.0726	0.0161
Bathor	0.0859	0.0176
Batleo	0.0844	0.0173
Batmin	0.0877	0.0179
Batvit	0.0846	0.0173
BenhoM	0.0615	0.0147
Benhor	0.0581	0.0143
Benmel	0.0554	0.0140
Bentri	0.0585	0.0144
Boumic	0.0651	0.0151
Calmac	0.0691	0.0157
Calmel	0.0685	0.0156
Calple	0.0687	0.0156
Carsch	0.0788	0.0175
Chabif	0.0644	0.0150
Chabri	0.0702	0.0156
Chacya	0.0658	0.0149
Chando	0.0702	0.0156
Chapop	0.0698	0.0155
Cphfr5	0.0630	0.0150
Cphfro	0.0665	0.0155
Cphgib	0.0698	0.0159
Cteben	0.0663	0.0154
Ctehor	0.0648	0.0151
Ctepol	0.0738	0.0164
Cunlon	0.0729	0.0166
Cyafoa	0.0783	0.0170
Cyafur	0.0761	0.0169
Cypcol	0.0606	0.0145
Cypdwj	0.0619	0.0148
Cypkan	0.0674	0.0153
Cypkib	0.0529	0.0138
Cyplep	0.0639	0.0149
Cypmic	0.0614	0.0147
Cyppav	0.0605	0.0144
Cypzon	0.0619	0.0148
Ectdes	0.0850	0.0181
EctspN	0.0795	0.0173
Enamel	0.0802	0.0171
Erecya	0.0705	0.0157
Eremar	0.0673	0.0153
Gnaper	0.0622	0.0149
Gnapfe	0.0717	0.0159
Gralem	0.0677	0.0159
Gwcbel	0.0591	0.0145
Gwcchr	0.0586	0.0144
Hapmic	0.0716	0.0159
Hemste	0.0676	0.0153
HemstZ	0.0668	0.0152
Hplkil	0.0745	0.0162
HplspC	0.0663	0.0155
Hplsta	0.0700	0.0159
Hplvan	0.0713	0.0158
Intloo	0.0678	0.0158
Juldic	0.0747	0.0162
Julkom	0.0630	0.0146
JulmaN	0.0652	0.0148
JulmaS	0.0659	0.0150
Julmrk	0.0657	0.0149
Julorn	0.0667	0.0151
Julreg	0.0631	0.0147
JulreK	0.0651	0.0148
Jultra	0.0570	0.0140
Julunt	0.0655	0.0149
Lamcal	0.0776	0.0169
Lamkun	0.0810	0.0169
Lamlap	0.0740	0.0164
Lamlem	0.0765	0.0163
Lammel	0.0711	0.0158
Lamoce	0.0724	0.0157
LamorC	0.0726	0.0161
Lamorn	0.0655	0.0152
LamorS	0.0661	0.0154
Lamsig	0.0732	0.0162
Lamspe	0.0849	0.0170
Lamtig	0.0751	0.0163
Lchabe	0.0591	0.0145
Lchaur	0.0570	0.0140
Lchsta	0.0596	0.0147
Lepatt	0.0714	0.0158
Lepcun	0.0675	0.0153
Lepelo	0.0741	0.0161
Lepkam	0.0715	0.0159
