chr	pos	Altcom	Auldew	Batfas	Batgra	Benhor	Boumic	Calmac	Calple	Chabri	Ctehor	Cyafur	Cphgib	Cyplep	Cypmic	Cypdwj	Enamel	Erecya	Eremar	Gnapfe	Hapmic	Intloo	Juldic	Julorn	Julreg	Lamkun	Lamlem	Lamoce	Lepatt	Lepelo	Lchaur	Loblab	Neobre	Neobue	Neocau	Neocyg	Neocyl	Neofas	Neofur	Neomod	Neomul	Neonig	Neopul	Neosav	Neotet	Neotoa	Neowal	Ophven	PcybrN	Pcynig	Permic	Peteph	Petfam	Petfas	Petmac	Petpol	Plepar	Plestr	Pscbab	Pscple	Simdia	Spaery	Tanirs	TeldhS	TelteS	Telvit	Tremar	Trenig	Tromoo	Tronig	Varmoo	Xenbou	Xennas	Xenspi
NC_031981.2	19430387	3	1	0	1	2	1	0	4	1	4	2	3	0	1	1	2	3	2	3	4	2	2	1	0	1	6	1	0	3	1	0	6	2	2	2	2	2	0	2	4	5	4	6	3	2	3	0	1	1	5	1	2	1	0	1	0	2	4	5	5	3	7	2	3	4	1	1	0	1	1	2	1	1
NC_031981.2	19430388	3	1	0	1	2	2	0	4	1	4	2	3	0	1	1	2	3	2	3	4	2	2	1	0	1	6	1	0	3	1	0	7	2	2	2	2	2	0	2	4	5	4	7	3	2	3	0	1	1	5	2	2	1	1	1	0	2	4	5	5	3	7	2	3	4	1	1	0	1	1	2	1	2
NC_031981.2	19430389	3	1	0	1	2	2	0	4	1	4	2	3	0	1	1	2	3	2	3	4	2	2	1	0	1	6	1	0	3	1	0	7	2	2	2	2	2	0	2	4	5	4	8	3	2	3	0	1	1	5	2	2	1	1	1	0	2	4	5	5	3	7	2	2	4	1	1	0	1	1	2	1	2
NC_031981.2	19430390	3	1	0	1	2	2	0	4	1	4	2	3	0	1	1	2	3	2	3	4	2	2	1	0	1	6	1	0	3	1	0	7	2	2	2	2	2	0	2	4	5	4	8	3	2	3	0	1	1	5	2	2	1	1	1	0	2	4	5	5	3	7	2	2	4	1	1	0	2	1	2	1	2
NC_031981.2	19430391	3	1	0	1	2	2	0	4	1	4	2	3	0	1	1	2	3	2	3	4	2	2	1	0	1	6	1	0	3	1	0	7	1	2	2	2	2	0	2	4	5	4	8	3	2	3	0	1	1	5	2	2	1	1	1	0	2	4	5	5	3	7	2	2	3	1	1	0	2	1	2	1	2
NC_031981.2	19430392	3	1	0	1	2	2	0	4	1	4	2	3	0	1	1	2	3	2	3	4	2	2	1	0	1	6	1	0	3	1	0	7	1	2	2	2	2	0	2	4	5	4	8	3	2	3	0	1	1	5	2	2	1	1	1	0	2	4	5	5	3	7	2	2	3	1	1	0	2	1	2	1	2
NC_031981.2	19430393	3	1	0	1	2	2	0	4	1	4	2	3	0	1	1	2	3	2	3	4	2	2	1	0	1	6	1	0	3	1	0	7	1	2	2	2	2	0	2	4	5	4	8	3	2	3	0	1	1	5	2	2	1	1	1	0	2	4	5	5	3	7	2	2	3	1	1	0	2	1	2	1	2
NC_031981.2	19430394	3	2	0	1	2	2	0	4	1	4	2	3	0	1	1	2	3	2	3	4	2	2	1	0	1	6	1	0	3	1	0	7	1	2	2	2	2	0	2	4	5	4	8	3	2	3	0	1	1	5	2	2	1	1	1	0	2	4	5	5	3	7	2	2	3	1	1	0	2	1	2	1	2
NC_031981.2	19430395	3	2	0	1	2	2	0	4	1	4	2	3	0	1	1	2	3	2	3	4	2	2	1	0	1	6	1	0	2	1	0	7	1	1	2	2	2	0	2	4	5	2	8	3	2	3	0	1	1	5	3	2	1	1	1	0	2	4	5	5	3	7	2	2	3	1	1	0	2	1	2	1	2
NC_031981.2	19430396	3	2	0	1	2	2	0	4	1	4	1	3	0	1	1	2	3	2	3	4	2	2	1	1	1	6	1	0	2	1	0	7	1	1	2	2	2	0	2	4	5	2	8	3	2	3	0	1	1	5	3	2	1	1	1	0	2	4	5	5	3	7	2	2	3	1	1	0	2	1	2	1	2
