spp	dS	+-SE
Altcal	0.0790	0.0168
Altcom	0.0840	0.0179
Altshe	0.0800	0.0175
Arcstr	0.0965	0.0203
Asplep	0.1035	0.0222
Astbur	0.1064	0.0212
Astfla	0.0999	0.0206
Astpal	0.0925	0.0194
Auldew	0.0765	0.0171
Baicen	0.0833	0.0186
Batfas	0.0839	0.0183
Batfer	0.0838	0.0183
Batgra	0.0835	0.0182
Bathor	0.0793	0.0173
Batleo	0.0645	0.0151
Batmin	0.0831	0.0182
Batvit	0.0835	0.0182
BenhoM	0.0839	0.0187
Benhor	0.0927	0.0203
Benmel	0.0833	0.0186
Bentri	0.0776	0.0177
Boumic	0.0697	0.0167
Calmac	0.0766	0.0171
Calmel	0.0797	0.0178
Calple	0.0763	0.0170
Carsch	0.0866	0.0190
Chabif	0.0827	0.0185
Chabri	0.0870	0.0190
Chacya	0.0822	0.0184
Chando	0.0833	0.0186
Chapop	0.0911	0.0200
Cphfr5	0.0662	0.0159
Cphfro	0.0669	0.0161
Cphgib	0.0730	0.0167
Cteben	0.0664	0.0159
Ctehor	0.0842	0.0180
Ctepol	0.0878	0.0180
Cunlon	0.0800	0.0175
Cyafoa	0.0725	0.0166
Cyafur	0.0763	0.0170
Cypcol	0.1067	0.0219
Cypdwj	0.1000	0.0214
Cypkan	0.1019	0.0194
Cypkib	0.1005	0.0219
Cyplep	0.1068	0.0219
Cypmic	0.0985	0.0206
Cyppav	0.1042	0.0218
Cypzon	0.1074	0.0220
Ectdes	0.0772	0.0172
EctspN	0.0765	0.0171
Enamel	0.0841	0.0193
Erecya	0.1011	0.0212
Eremar	0.0843	0.0184
Gnaper	0.0774	0.0173
Gnapfe	0.0921	0.0202
Gralem	0.0789	0.0172
Gwcbel	0.0776	0.0173
Gwcchr	0.0780	0.0174
Hapmic	0.0830	0.0185
Hemste	0.0867	0.0185
HemstZ	0.0902	0.0193
Hplkil	0.0929	0.0195
HplspC	0.1009	0.0208
Hplsta	0.0963	0.0202
Hplvan	0.0936	0.0196
Intloo	0.0842	0.0188
Juldic	0.0828	0.0185
