chr	pos	Altcom	Auldew	Batfas	Batgra	Benhor	Boumic	Calmac	Calple	Chabri	Ctehor	Cyafur	Cphgib	Cyplep	Cypmic	Cypdwj	Enamel	Erecya	Eremar	Gnapfe	Hapmic	Intloo	Juldic	Julorn	Julreg	Lamkun	Lamlem	Lamoce	Lepatt	Lepelo	Lchaur	Loblab	Neobre	Neobue	Neocau	Neocyg	Neocyl	Neofas	Neofur	Neomod	Neomul	Neonig	Neopul	Neosav	Neotet	Neotoa	Neowal	Ophven	PcybrN	Pcynig	Permic	Peteph	Petfam	Petfas	Petmac	Petpol	Plepar	Plestr	Pscbab	Pscple	Simdia	Spaery	Tanirs	TeldhS	TelteS	Telvit	Tremar	Trenig	Tromoo	Tronig	Varmoo	Xenbou	Xennas	Xenspi
NC_031970.2	31930768	2	0	3	5	3	1	2	2	5	2	5	3	2	5	5	0	4	2	4	0	3	1	2	0	6	3	6	3	5	4	5	7	6	6	3	4	4	1	2	8	6	3	2	2	3	8	1	3	3	4	4	9	3	5	2	1	2	5	3	7	10	0	3	1	6	6	5	5	1	3	2	5	2
NC_031970.2	31930769	2	0	3	5	3	1	2	2	5	2	5	3	2	5	5	0	4	2	4	0	3	1	2	0	6	2	6	3	5	4	5	7	6	6	3	4	4	1	2	8	6	3	2	2	3	8	1	3	3	4	4	10	3	4	2	1	2	5	3	7	10	0	3	1	6	6	5	4	1	3	2	5	2
NC_031970.2	31930770	2	0	3	5	3	1	2	2	5	2	5	3	3	5	5	0	4	2	4	0	3	1	2	0	6	2	6	3	5	4	5	7	6	6	3	4	4	1	2	8	6	3	2	2	3	8	1	3	3	4	4	10	3	4	2	1	2	5	3	7	10	0	3	1	6	6	5	4	1	3	2	5	2
NC_031970.2	31930771	2	0	3	5	3	1	2	2	5	2	5	3	3	5	5	0	4	3	4	0	3	1	2	0	6	2	6	3	5	4	5	7	6	6	3	4	4	1	2	8	6	3	2	2	3	8	1	3	3	4	4	10	3	4	2	1	2	5	3	7	10	0	3	1	6	6	5	4	1	3	2	5	2
NC_031970.2	31930772	2	0	3	5	3	1	2	2	5	2	5	3	2	5	4	0	4	3	4	0	3	1	2	0	6	2	6	3	5	4	5	7	6	6	3	4	4	1	2	8	6	3	2	2	3	8	1	3	3	4	5	10	3	4	2	1	2	5	3	8	10	0	3	1	6	6	5	4	1	3	2	5	2
NC_031970.2	31930773	2	0	3	5	3	1	2	2	5	2	5	3	2	5	4	0	4	3	4	0	3	1	2	0	6	2	6	3	5	4	5	7	6	6	3	4	5	1	2	8	6	3	2	2	3	8	1	3	3	4	5	10	3	4	2	1	2	5	3	8	10	0	3	1	6	6	5	4	1	3	2	5	2
NC_031970.2	31930774	2	0	3	5	3	1	2	2	5	2	5	3	2	5	4	0	4	3	4	0	3	1	2	0	7	2	6	3	5	4	5	7	6	6	3	4	5	1	2	8	6	3	2	2	3	8	1	3	3	4	5	10	3	4	2	1	2	5	3	8	10	0	3	1	6	6	5	5	1	3	2	5	2
NC_031970.2	31930775	2	0	3	5	3	1	2	2	5	2	5	3	2	5	4	0	4	3	4	0	3	1	2	0	7	2	6	3	5	4	5	7	6	6	3	4	5	1	2	8	6	3	2	2	3	8	1	3	3	4	5	10	3	4	2	1	2	5	3	8	10	0	3	1	6	6	5	4	1	3	2	5	2
NC_031970.2	31930776	2	0	3	5	3	1	2	2	5	2	5	3	2	5	4	0	4	3	4	0	3	1	2	0	7	2	6	3	5	4	5	7	6	6	3	4	5	1	2	8	6	3	2	2	3	8	1	3	3	4	5	10	3	4	2	1	2	5	3	8	10	0	3	1	6	6	5	4	1	3	2	5	2
NC_031970.2	31930777	2	0	3	5	3	1	2	2	5	2	5	3	2	5	4	0	4	3	5	0	3	1	2	0	7	2	6	3	6	4	5	7	6	6	3	4	5	1	2	8	6	3	2	2	3	8	1	3	3	4	5	10	3	4	2	1	2	5	3	9	10	0	3	1	6	6	5	4	1	3	2	5	2
