spp	dS	+-SE
Altcal	0.0689	0.0234
Altcom	0.0692	0.0235
Altshe	0.0689	0.0234
Arcstr	0.0589	0.0211
Asplep	0.0754	0.0244
Astbur	0.0644	0.0232
Astfla	0.0632	0.0227
Astpal	0.0755	0.0244
Auldew	0.0853	0.0264
Baicen	0.0686	0.0233
Batfas	0.0675	0.0243
Batfer	0.0675	0.0243
Batgra	0.0762	0.0260
Bathor	0.0763	0.0259
Batleo	0.0765	0.0261
Batmin	0.0630	0.0226
Batvit	0.0675	0.0243
BenhoM	0.0613	0.0220
Benhor	0.0613	0.0220
Benmel	0.0611	0.0220
Bentri	0.0620	0.0223
Boumic	0.0763	0.0260
Calmac	0.0860	0.0265
Calmel	0.0851	0.0263
Calple	0.0854	0.0264
Carsch	0.0850	0.0263
Chabif	0.0793	0.0257
Chabri	0.0714	0.0243
Chacya	0.0773	0.0249
Chando	0.0793	0.0257
Chapop	0.0813	0.0264
Cphfr5	0.0686	0.0233
Cphfro	0.0686	0.0233
Cphgib	0.0686	0.0233
Cteben	0.0672	0.0228
Ctehor	0.0596	0.0214
Ctepol	0.0691	0.0235
Cunlon	0.0916	0.0285
Cyafoa	0.0698	0.0237
Cyafur	0.0850	0.0263
Cypcol	0.0690	0.0234
Cypdwj	0.0686	0.0233
Cypkan	0.0690	0.0234
Cypkib	0.0627	0.0225
Cyplep	0.0821	0.0265
Cypmic	0.0726	0.0247
Cyppav	0.0818	0.0264
Cypzon	0.0821	0.0265
Ectdes	0.0814	0.0264
EctspN	0.0856	0.0266
Enamel	0.0826	0.0256
Erecya	0.0592	0.0213
Eremar	0.0601	0.0216
Gnaper	0.0696	0.0237
Gnapfe	0.0612	0.0220
Gralem	0.0687	0.0234
Gwcbel	0.0611	0.0219
Gwcchr	0.0611	0.0219
Hapmic	0.0611	0.0219
Hemste	0.0675	0.0243
HemstZ	0.0675	0.0243
Hplkil	0.0625	0.0224
HplspC	0.0836	0.0259
Hplsta	0.0755	0.0244
Hplvan	0.0953	0.0283
Intloo	0.0612	0.0220
Juldic	0.0793	0.0256
Julkom	0.0802	0.0260
JulmaN	0.0693	0.0235
JulmaS	0.0618	0.0222
Julmrk	0.0690	0.0234
Julorn	0.0796	0.0258
Julreg	0.0673	0.0242
JulreK	0.0618	0.0222
Jultra	0.0817	0.0265
Julunt	0.0611	0.0219
Lamcal	0.0960	0.0285
Lamkun	0.0628	0.0226
Lamlap	0.0637	0.0229
Lamlem	0.0642	0.0231
Lammel	0.0689	0.0234
Lamoce	0.0703	0.0239
LamorC	0.0631	0.0227
Lamorn	0.0641	0.0230
LamorS	0.0647	0.0233
Lamsig	0.0637	0.0229
Lamspe	0.0678	0.0230
Lamtig	0.0849	0.0262
Lchabe	0.0624	0.0224
Lchaur	0.0616	0.0221
Lchsta	0.0686	0.0233
Lepatt	0.0631	0.0227
Lepcun	0.0632	0.0227
Lepelo	0.0710	0.0242
Lepkam	0.0710	0.0242
Lepken	0.0629	0.0226
LepmeK	0.0640	0.0230
Lepmim	0.0629	0.0226
Leppro	0.0710	0.0242
Lesper	0.0858	0.0266
Lessta	0.0850	0.0263
Limdar	0.0596	0.0214
Loblab	0.0600	0.0215
Mdcrot	0.0690	0.0235
Mdcten	0.0754	0.0244
Neobif	0.0713	0.0242
Neobou	0.0553	0.0212
Neobre	0.0660	0.0237
Neobri	0.0739	0.0252
NeobrM	0.0690	0.0249
Neobue	0.0713	0.0242
NeocaK	0.0716	0.0244
Neocal	0.0650	0.0234
Neocau	0.0711	0.0242
Neochi	0.0713	0.0242
Neochr	0.1017	0.0291
Neocra	0.0739	0.0252
Neocyg	0.0728	0.0247
Neocyl	0.0679	0.0231
Neodev	0.0846	0.0275
Neoese	0.1030	0.0297
Neofal	0.0631	0.0227
NeofaM	0.0649	0.0234
Neofas	0.0634	0.0228
Neofur	0.0713	0.0242
NeofuU	0.0713	0.0242
Neogra	0.0653	0.0235
NeogrM	0.0775	0.0264
Neohec	0.0631	0.0227
Neohel	0.0685	0.0233
Neokom	0.0695	0.0236
NeoleL	0.0713	0.0242
Neoleu	0.0713	0.0242
Neolon	0.0767	0.0248
Neolou	0.0687	0.0233
