chr	pos	Altcom	Auldew	Batfas	Batgra	Benhor	Boumic	Calmac	Calple	Chabri	Ctehor	Cyafur	Cphgib	Cyplep	Cypmic	Cypdwj	Enamel	Erecya	Eremar	Gnapfe	Hapmic	Intloo	Juldic	Julorn	Julreg	Lamkun	Lamlem	Lamoce	Lepatt	Lepelo	Lchaur	Loblab	Neobre	Neobue	Neocau	Neocyg	Neocyl	Neofas	Neofur	Neomod	Neomul	Neonig	Neopul	Neosav	Neotet	Neotoa	Neowal	Ophven	PcybrN	Pcynig	Permic	Peteph	Petfam	Petfas	Petmac	Petpol	Plepar	Plestr	Pscbab	Pscple	Simdia	Spaery	Tanirs	TeldhS	TelteS	Telvit	Tremar	Trenig	Tromoo	Tronig	Varmoo	Xenbou	Xennas	Xenspi
NC_031984.2	6392265	1	2	0	0	2	1	0	0	1	2	0	0	1	0	0	2	2	1	2	4	1	0	1	1	0	1	1	0	0	1	1	1	2	2	0	0	0	1	1	2	0	0	0	1	3	2	7	3	1	5	1	2	5	0	0	2	3	2	4	5	3	0	1	0	1	1	1	5	0	1	0	1	2
NC_031984.2	6392266	1	2	0	0	2	1	0	0	1	2	0	0	1	1	0	2	2	1	2	4	1	0	1	1	0	1	1	0	0	1	1	1	2	2	0	0	0	1	1	2	0	0	0	1	3	2	7	3	1	5	1	2	5	0	0	2	3	2	4	5	3	0	1	0	1	1	1	5	0	1	0	1	2
NC_031984.2	6392267	1	2	0	0	2	1	0	0	1	1	0	0	1	1	0	2	2	1	2	4	1	0	1	1	0	1	1	0	0	1	1	1	2	2	0	0	0	1	1	2	0	0	0	1	3	2	7	3	1	5	1	2	5	0	0	2	3	2	4	5	3	0	1	0	1	1	1	5	0	1	0	1	2
NC_031984.2	6392268	1	2	0	0	2	1	0	0	1	1	0	0	1	1	0	2	2	1	2	4	1	0	1	1	0	1	1	0	0	1	1	1	2	2	0	0	0	1	1	2	0	0	0	1	3	2	7	3	1	5	1	2	5	0	0	2	3	2	4	5	3	0	1	0	1	1	1	5	0	1	0	1	2
NC_031984.2	6392269	1	2	0	0	2	1	0	0	1	1	0	0	1	1	0	2	2	1	2	4	1	0	1	1	0	1	1	0	0	1	1	1	2	2	0	0	0	1	1	2	0	0	0	1	3	2	7	3	1	5	1	2	5	0	0	2	3	2	4	5	3	0	1	0	1	1	1	5	0	1	0	1	2
NC_031984.2	6392270	1	2	0	0	2	1	0	0	1	1	0	0	1	1	0	2	2	1	2	4	1	0	1	0	0	1	1	0	0	1	1	1	1	2	0	0	0	1	1	2	0	0	0	1	3	2	7	3	1	5	1	2	5	0	0	2	3	2	4	5	3	0	1	0	1	1	1	5	0	1	0	1	2
NC_031984.2	6392271	1	2	0	0	2	1	0	0	1	1	0	0	1	1	0	2	2	1	2	4	1	0	1	0	0	1	1	0	0	1	1	1	1	2	0	0	0	1	1	2	0	0	0	1	3	2	7	3	1	5	1	2	5	0	0	2	3	2	4	5	3	0	1	0	1	1	1	5	0	2	0	1	2
NC_031984.2	6392272	1	2	0	0	3	1	0	0	1	1	0	0	1	1	0	2	2	1	2	4	1	0	1	0	0	1	1	0	0	1	1	1	1	2	0	0	0	1	1	2	0	0	0	1	3	2	7	3	1	5	1	2	6	0	0	2	3	2	4	5	3	0	1	0	1	1	1	5	0	2	0	1	2
NC_031984.2	6392273	1	2	0	1	3	1	0	0	1	1	0	0	1	1	0	2	2	1	2	4	1	0	1	0	0	1	1	0	0	1	1	1	1	2	0	0	0	1	1	2	0	0	0	1	3	2	7	3	1	5	1	2	6	0	0	2	3	2	4	5	3	0	1	0	1	1	1	5	0	2	0	1	2
NC_031984.2	6392274	1	2	0	1	3	1	0	0	1	1	0	0	1	1	0	2	2	1	2	4	1	0	1	0	0	1	1	0	0	1	1	1	1	2	0	0	0	1	1	2	0	0	0	1	3	2	7	3	1	5	1	2	5	0	0	2	3	2	4	5	3	0	1	0	1	1	1	5	0	2	0	1	2
