site	mod	first_Lh	first_conv	sec_Lh	sec_conv	thi_Lh	thi_conv	final_Lh	max_it
OT_107	ind	-124.821485	0.395494160529997	NA	NA	NA	NA	-124.821485	7
OT_107	dep	-130.018383	0.636136966484843	NA	NA	NA	NA	-130.018383	7
OT_109	ind	-115.263345	-1.49555043177178	NA	NA	NA	NA	-115.263345	7
OT_109	dep	-121.975356	-0.993000375190612	NA	NA	NA	NA	-121.975356	7
OT_110	ind	-120.022964	-0.755090262102546	NA	NA	NA	NA	-120.022964	7
OT_110	dep	-128.890129	-0.229313100351826	NA	NA	NA	NA	-128.890129	7
OT_116	ind	-133.558199	-0.278301569464333	NA	NA	NA	NA	-133.558199	7
OT_116	dep	-142.355083	0.223548579253784	NA	NA	NA	NA	-142.355083	7
OT_120	ind	-133.500694	-0.325835372693614	NA	NA	NA	NA	-133.500694	7
OT_120	dep	-147.242895	-2732.55557782922	-147.445751	-0.658704436380304	NA	NA	-147.445751	8
OT_127	ind	-115.200189	0.691293752486139	NA	NA	NA	NA	-115.200189	7
OT_127	dep	-122.628404	1.25025458873796	NA	NA	NA	NA	-122.628404	7
OT_129	ind	-115.398702	1.7583914291367	NA	NA	NA	NA	-115.398702	7
OT_129	dep	-122.44222	-0.179845184227544	NA	NA	NA	NA	-122.44222	7
OT_131	ind	-131.991132	-2.01086278898746	-132.008246	-0.880875166696261	NA	NA	-132.008246	8
OT_131	dep	-142.009356	0.363124048370462	NA	NA	NA	NA	-142.009356	7
OT_132	ind	-128.830585	-0.0932572733356808	NA	NA	NA	NA	-128.830585	7
OT_132	dep	-150.344528	-0.999601471956903	NA	NA	NA	NA	-150.344528	7
OT_133	ind	-115.10776	0.224181983480973	NA	NA	NA	NA	-115.10776	7
OT_133	dep	-122.971801	1.41139992126978	NA	NA	NA	NA	-122.971801	7
OT_134	ind	-115.865101	-1.42345800093646	NA	NA	NA	NA	-115.865101	7
OT_134	dep	-121.045363	-0.267383224812813	NA	NA	NA	NA	-121.045363	7
OT_136	ind	-127.774045	0.79537481825415	NA	NA	NA	NA	-127.774045	7
OT_136	dep	-144.332249	0.938232573765314	NA	NA	NA	NA	-144.332249	7
