chr	pos	Altcom	Auldew	Batfas	Batgra	Benhor	Boumic	Calmac	Calple	Chabri	Ctehor	Cyafur	Cphgib	Cyplep	Cypmic	Cypdwj	Enamel	Erecya	Eremar	Gnapfe	Hapmic	Intloo	Juldic	Julorn	Julreg	Lamkun	Lamlem	Lamoce	Lepatt	Lepelo	Lchaur	Loblab	Neobre	Neobue	Neocau	Neocyg	Neocyl	Neofas	Neofur	Neomod	Neomul	Neonig	Neopul	Neosav	Neotet	Neotoa	Neowal	Ophven	PcybrN	Pcynig	Permic	Peteph	Petfam	Petfas	Petmac	Petpol	Plepar	Plestr	Pscbab	Pscple	Simdia	Spaery	Tanirs	TeldhS	TelteS	Telvit	Tremar	Trenig	Tromoo	Tronig	Varmoo	Xenbou	Xennas	Xenspi
NC_031972.2	46053022	0	0	0	0	1	1	2	0	0	7	4	2	0	1	3	0	3	4	2	5	3	0	2	6	2	3	3	1	3	1	0	0	1	1	0	4	1	0	0	1	5	0	4	2	0	3	3	1	3	1	1	1	2	0	2	2	2	2	2	5	2	2	8	6	12	2	1	4	6	2	0	3	5
NC_031972.2	46053023	0	0	0	0	1	1	2	0	0	7	4	2	0	1	3	0	3	4	2	5	3	0	2	6	2	3	3	1	3	1	0	0	1	1	0	4	1	0	0	1	5	0	4	1	0	3	3	1	3	1	1	1	2	0	2	2	2	2	2	5	2	2	8	6	12	2	1	4	6	2	0	3	5
NC_031972.2	46053024	0	0	0	0	1	1	2	0	0	7	4	2	0	1	3	0	3	4	2	5	3	0	2	6	2	3	3	1	3	1	0	0	1	1	0	4	1	0	0	1	5	0	4	1	0	3	3	1	3	1	1	1	2	0	2	2	2	2	2	5	2	2	8	6	12	2	1	4	6	2	0	3	5
NC_031972.2	46053025	0	0	0	0	1	1	2	0	0	7	4	2	0	1	3	0	3	4	2	5	3	0	2	6	2	3	3	1	3	1	0	0	1	1	0	4	1	0	0	1	5	0	4	1	0	3	3	1	3	1	1	1	2	0	2	2	2	2	2	5	2	2	8	5	12	2	1	4	6	2	0	3	5
NC_031972.2	46053026	0	0	0	0	1	1	2	0	0	7	4	2	0	1	3	0	3	4	2	5	3	0	2	6	2	3	3	1	3	1	0	0	1	1	0	4	1	0	0	1	5	0	4	1	0	3	3	1	3	1	1	1	2	0	2	2	2	2	2	5	2	2	8	5	12	2	1	4	6	2	0	3	5
NC_031972.2	46053027	0	0	0	0	1	1	2	0	0	7	4	2	0	1	3	0	3	4	2	5	3	0	2	6	2	3	3	1	5	1	0	0	1	1	0	4	1	0	0	1	5	0	4	1	0	3	3	1	3	1	1	1	2	0	2	2	2	2	2	5	2	2	8	5	12	2	1	4	6	2	0	3	5
NC_031972.2	46053028	0	0	0	0	1	0	2	0	0	7	4	2	0	1	3	0	3	4	2	5	3	0	2	6	2	3	3	1	5	1	0	0	1	1	0	4	1	0	0	1	5	0	4	1	0	3	3	1	3	1	1	1	2	0	2	2	2	2	2	5	2	2	8	5	12	2	1	4	6	2	0	3	5
NC_031972.2	46053029	0	0	0	0	1	0	2	0	0	7	4	1	0	1	3	0	3	4	2	5	3	0	2	7	2	3	3	1	5	1	0	0	1	1	0	4	1	0	0	1	5	0	4	1	0	3	3	1	3	1	1	1	2	0	2	2	2	2	2	5	2	2	8	5	12	2	1	4	6	2	0	3	5
NC_031972.2	46053030	0	0	0	0	1	0	2	0	0	7	4	1	0	1	3	0	3	4	2	5	3	0	2	7	2	3	3	1	5	1	0	0	1	1	0	3	1	0	0	1	5	0	4	1	0	3	3	1	3	1	1	1	2	0	2	2	2	2	2	5	2	2	8	5	12	2	1	4	6	2	0	3	5
NC_031972.2	46053031	0	0	0	0	1	0	2	0	0	7	4	1	0	1	3	0	3	4	2	5	3	0	2	7	2	3	3	1	5	1	0	0	1	1	0	3	1	0	0	1	5	0	4	1	0	3	3	1	3	1	1	1	2	0	2	2	2	2	2	5	2	2	8	5	12	2	1	4	6	2	0	3	5
