site	ind	dep	BF
OT_107	-124.821485	-130.018383	-10.393796
OT_109	-115.263345	-121.975356	-13.424022
OT_110	-120.022964	-128.890129	-17.73433
OT_116	-133.558199	-142.355083	-17.593768
OT_120	-133.500694	-147.445751	-27.890114
OT_127	-115.200189	-122.628404	-14.85643
OT_129	-115.398702	-122.44222	-14.087036
OT_131	-132.008246	-142.009356	-20.00222
OT_132	-128.830585	-150.344528	-43.027886
OT_133	-115.10776	-122.971801	-15.728082
OT_134	-115.865101	-121.045363	-10.360524
OT_136	-127.774045	-144.332249	-33.116408
OT_141	-136.537049	-146.633314	-20.19253
OT_146	-145.272478	-156.973531	-23.402106
OT_147	-115.128144	-123.129638	-16.002988
OT_150	-116.259049	-122.305693	-12.093288
OT_155	-109.421212	-117.066398	-15.290372
OT_156	-126.252099	-137.360484	-22.21677
OT_16	-115.005438	-121.290476	-12.570076
OT_33	-110.150966	-118.531595	-16.761258
OT_36	-123.993012	-132.732482	-17.47894
OT_46	-115.699908	-122.370529	-13.341242
OT_48	-115.385004	-122.434505	-14.099002
OT_51	-135.991565	-146.976641	-21.970152
OT_56	-131.159492	-142.278182	-22.23738
OT_68	-131.605886	-139.839556	-16.46734
OT_74	-115.910449	-122.451239	-13.08158
OT_76	-139.345097	-151.524571	-24.358948
OT_91	-115.19218	-122.492215	-14.60007
OT_9	-115.535378	-122.659186	-14.247616
OTRa_11	-130.046704	-151.652581	-43.211754
OTRa_138	-110.125222	-118.029373	-15.808302
OTRa_13	-126.551064	-136.470353	-19.838578
OTRa_14	-153.784565	-158.344405	-9.11968000000002
OTRa_15	-116.00151	-123.213008	-14.422996
OTRa_165	-114.968985	-123.646385	-17.3548
OTRa_169	-115.323048	-123.406526	-16.166956
OTRa_186	-128.575608	-141.068029	-24.984842
OTRa_205	-124.527152	-131.776655	-14.499006
OTRa_21	-115.952667	-122.598673	-13.292012
OTRa_23	-119.728107	-126.033077	-12.60994
OTRa_248	-128.560926	-136.121738	-15.121624
OTRa_24	-115.793025	-121.382363	-11.178676
OTRa_256	-115.955513	-122.760321	-13.609616
OTRa_260	-120.002082	-127.234074	-14.463984
OTRa_27	-116.48795	-123.844775	-14.71365
OTRa_2	-116.657818	-123.029503	-12.74337
OTRa_304	-115.831394	-121.626269	-11.58975
OTRa_337	-110.523494	-115.823882	-10.600776
OTRa_344	-115.44174	-125.324068	-19.764656
OTRa_352	-127.916653	-134.139211	-12.445116
OTRa_355	-115.308087	-122.383962	-14.15175
OTRa_360	-115.284003	-122.335234	-14.102462
OTRa_362	-116.069807	-122.92561	-13.711606
OTRa_363	-115.646119	-121.857687	-12.423136
OTRa_364	-116.176759	-122.176335	-11.999152
OTRa_378	-115.486319	-122.686413	-14.400188
OTRa_382	-116.672133	-123.921645	-14.499024
OTRa_43	-115.776648	-122.107771	-12.662246
OTRa_6	-120.343593	-128.519053	-16.35092
OTRa_73	-115.455319	-122.06986	-13.229082
OTRa_74	-115.812145	-123.947555	-16.27082
OTRb.tr1_114	-115.799434	-122.966695	-14.334522
OTRb.tr1_12	-115.648467	-124.184303	-17.071672
OTRb.tr1_13	-115.883418	-122.941353	-14.11587
OTRb.tr1_145	-124.324068	-129.944377	-11.240618
OTRb.tr1_152	-130.656496	-137.381327	-13.449662
OTRb.tr1_153	-126.009169	-136.738409	-21.45848
OTRb.tr1_154	-138.440416	-146.536277	-16.191722
OTRb.tr1_156	-115.098344	-123.571486	-16.946284
OTRb.tr1_159	-115.178884	-123.626517	-16.895266
OTRb.tr1_15	-136.450974	-156.535881	-40.169814
OTRb.tr1_162	-110.589331	-117.979215	-14.779768
OTRb.tr1_164	-115.991323	-123.228975	-14.475304
OTRb.tr1_166	-131.396286	-140.720025	-18.647478
OTRb.tr1_173	-124.107898	-132.576301	-16.936806
OTRb.tr1_176	-136.553311	-150.046831	-26.98704
OTRb.tr1_19	-120.441934	-128.307916	-15.731964
OTRb.tr1_210	-133.514857	-146.554818	-26.079922
OTRb.tr1_221	-119.790801	-127.418062	-15.254522
OTRb.tr1_236	-115.842219	-122.839833	-13.995228
OTRb.tr1_23	-116.166698	-123.415272	-14.497148
OTRb.tr1_241	-110.15168	-117.635032	-14.966704
OTRb.tr1_247	-122.080442	-128.068037	-11.97519
OTRb.tr1_251	-116.213767	-124.622633	-16.817732
OTRb.tr1_252	-126.635688	-135.064979	-16.858582
OTRb.tr1_255	-119.985009	-127.624005	-15.277992
OTRb.tr1_258	-133.325925	-145.682089	-24.712328
OTRb.tr1_25	-126.894038	-134.57209	-15.356104
OTRb.tr1_28	-109.970776	-116.995633	-14.049714
OTRb.tr1_304	-116.023405	-121.944755	-11.8427
OTRb.tr1_310	-115.810452	-122.873626	-14.126348
OTRb.tr1_311	-110.103614	-116.711127	-13.215026
OTRb.tr1_313	-115.405218	-123.245542	-15.680648
OTRb.tr1_314	-126.813133	-134.171333	-14.7164
OTRb.tr1_315	-127.439905	-135.808549	-16.737288
OTRb.tr1_316	-127.09591	-134.412293	-14.632766
OTRb.tr1_317	-127.158172	-136.298808	-18.281272
OTRb.tr1_318	-123.987484	-134.55067	-21.126372
OTRb.tr1_319	-122.644459	-134.014265	-22.739612
OTRb.tr1_320	-126.899448	-133.986353	-14.17381
OTRb.tr1_321	-127.877613	-135.649933	-15.54464
OTRb.tr1_322	-127.36638	-134.361628	-13.990496
OTRb.tr1_323	-127.457505	-134.49093	-14.06685
OTRb.tr1_324	-127.154748	-134.375915	-14.442334
OTRb.tr1_325	-127.445366	-133.980174	-13.069616
OTRb.tr1_326	-123.619441	-134.764003	-22.289124
OTRb.tr1_327	-127.272971	-133.681924	-12.817906
OTRb.tr1_328	-127.065506	-135.496313	-16.861614
OTRb.tr1_329	-126.819151	-137.010901	-20.3835
OTRb.tr1_330	-125.328748	-132.192882	-13.728268
OTRb.tr1_331	-127.807079	-134.890374	-14.16659
OTRb.tr1_332	-126.859544	-136.406058	-19.093028
OTRb.tr1_333	-127.312227	-133.612797	-12.60114
OTRb.tr1_334	-127.132554	-134.261543	-14.257978
OTRb.tr1_335	-127.015408	-133.599183	-13.16755
OTRb.tr1_336	-126.967674	-135.146919	-16.35849
OTRb.tr1_337	-127.526185	-135.860766	-16.669162
OTRb.tr1_338	-127.429398	-134.025647	-13.192498
OTRb.tr1_339	-127.776283	-133.648641	-11.744716
OTRb.tr1_33	-110.055851	-116.696574	-13.281446
OTRb.tr1_340	-127.63859	-135.661431	-16.045682
OTRb.tr1_341	-126.923084	-134.187542	-14.528916
OTRb.tr1_342	-126.749191	-133.067944	-12.637506
OTRb.tr1_343	-126.426522	-133.811807	-14.77057
OTRb.tr1_344	-125.384701	-132.311706	-13.85401
OTRb.tr1_345	-127.126787	-134.584226	-14.914878
OTRb.tr1_346	-141.595412	-166.898113	-50.605402
OTRb.tr1_347	-128.288592	-134.335814	-12.094444
OTRb.tr1_348	-127.015179	-134.471421	-14.912484
OTRb.tr1_349	-126.89632	-135.393896	-16.995152
OTRb.tr1_350	-126.625337	-134.422807	-15.59494
OTRb.tr1_351	-127.145988	-133.243043	-12.19411
OTRb.tr1_352	-116.101311	-127.441052	-22.679482
OTRb.tr1_353	-128.033013	-134.928074	-13.790122
OTRb.tr1_354	-131.2456	-140.988343	-19.485486
OTRb.tr1_355	-131.099079	-141.670744	-21.14333
OTRb.tr1_356	-135.288769	-144.569201	-18.560864
OTRb.tr1_49	-115.96791	-122.246546	-12.557272
OTRb.tr1_51	-126.361875	-137.557325	-22.3909
OTRb.tr1_62	-135.859881	-142.831349	-13.942936
OTRb.tr1_63	-115.657796	-122.343614	-13.371636
OTRb.tr1_66	-115.434636	-124.213734	-17.558196
OTRb.tr1_8	-120.29219	-126.661811	-12.739242
OTRb.tr1_94	-114.886169	-124.605774	-19.43921
OTRb.tr2_114	-115.717151	-122.809894	-14.185486
OTRb.tr2_12	-115.82492	-122.123357	-12.596874
OTRb.tr2_13	-115.894975	-122.681678	-13.573406
OTRb.tr2_145	-124.456379	-129.486104	-10.05945
OTRb.tr2_152	-129.570469	-137.386643	-15.632348
OTRb.tr2_153	-124.65981	-136.347895	-23.37617
OTRb.tr2_154	-138.697957	-147.613798	-17.831682
OTRb.tr2_156	-116.245421	-122.371788	-12.252734
OTRb.tr2_159	-115.753335	-121.792619	-12.078568
OTRb.tr2_15	-135.433708	-262.516056	-254.164696
OTRb.tr2_162	-110.084627	-115.634818	-11.100382
OTRb.tr2_164	-115.24175	-122.305858	-14.128216
OTRb.tr2_166	-132.004392	-141.019365	-18.029946
OTRb.tr2_173	-124.50766	-131.758454	-14.501588
OTRb.tr2_176	-137.556977	-148.30447	-21.494986
OTRb.tr2_19	-119.726135	-128.639995	-17.82772
OTRb.tr2_210	-135.044219	-147.146829	-24.20522
OTRb.tr2_221	-120.622169	-126.616232	-11.988126
OTRb.tr2_236	-116.12467	-122.032594	-11.815848
OTRb.tr2_23	-115.756635	-121.733823	-11.954376
OTRb.tr2_241	-110.111769	-117.529912	-14.836286
OTRb.tr2_247	-121.875778	-128.220049	-12.688542
OTRb.tr2_251	-115.446846	-124.830055	-18.766418
OTRb.tr2_252	-126.084792	-137.90765	-23.645716
OTRb.tr2_255	-119.858637	-129.010345	-18.303416
OTRb.tr2_258	-133.118248	-143.147088	-20.05768
OTRb.tr2_25	-127.141442	-134.979372	-15.67586
OTRb.tr2_28	-110.382897	-116.684518	-12.603242
OTRb.tr2_304	-115.188009	-122.108983	-13.841948
OTRb.tr2_315	-134.920997	-146.253641	-22.665288
OTRb.tr2_33	-110.341996	-116.059969	-11.435946
OTRb.tr2_350	-120.30671	-127.614657	-14.615894
OTRb.tr2_351	-124.818724	-134.755089	-19.87273
OTRb.tr2_355	-128.590669	-135.653404	-14.12547
OTRb.tr2_357	-128.17932	-134.689633	-13.020626
OTRb.tr2_360	-129.500307	-141.843493	-24.686372
