site	mod	first_Lh	first_conv	sec_Lh	sec_conv	thi_Lh	thi_conv	final_Lh	max_it
OT_107	ind	-123.964619	-0.631842036115687	NA	NA	NA	NA	-123.964619	7
OT_107	dep	-128.970826	-0.0141321338817457	NA	NA	NA	NA	-128.970826	7
OT_109	ind	-119.504524	-1.94260472067171	NA	NA	NA	NA	-119.504524	7
OT_109	dep	-126.603874	1.81071694633023	NA	NA	NA	NA	-126.603874	7
OT_110	ind	-124.122342	-0.762546113701257	NA	NA	NA	NA	-124.122342	7
OT_110	dep	-128.503098	0.867240529778844	NA	NA	NA	NA	-128.503098	7
OT_116	ind	-131.040299	1.19331801585881	NA	NA	NA	NA	-131.040299	7
OT_116	dep	-141.826151	-2.63417541972451	-141.040582	0.907347339431223	NA	NA	-141.040582	8
OT_120	ind	-137.849228	-0.378899519833089	NA	NA	NA	NA	-137.849228	7
OT_120	dep	-145.90926	-1.35511286559917	NA	NA	NA	NA	-145.90926	7
OT_127	ind	-115.017433	1.21854871713075	NA	NA	NA	NA	-115.017433	7
OT_127	dep	-119.287456	-1.88308295367553	NA	NA	NA	NA	-119.287456	7
OT_129	ind	-119.844128	0.792699128523273	NA	NA	NA	NA	-119.844128	7
OT_129	dep	-124.084872	0.68211219379765	NA	NA	NA	NA	-124.084872	7
OT_131	ind	-134.928851	-1.18866159290875	NA	NA	NA	NA	-134.928851	7
OT_131	dep	-141.95364	-3.29987939703422	-142.281982	0.941533315375026	NA	NA	-142.281982	8
OT_132	ind	-132.597646	-0.385543096449152	NA	NA	NA	NA	-132.597646	7
OT_132	dep	-146.284057	-1.16150255521317	NA	NA	NA	NA	-146.284057	7
OT_133	ind	-120.097545	0.579313890760369	NA	NA	NA	NA	-120.097545	7
OT_133	dep	-124.655502	1.13583423759741	NA	NA	NA	NA	-124.655502	7
OT_134	ind	-119.407225	0.960726234648315	NA	NA	NA	NA	-119.407225	7
OT_134	dep	-124.592996	-0.957018112060018	NA	NA	NA	NA	-124.592996	7
OT_136	ind	-124.007864	-0.900562583531324	NA	NA	NA	NA	-124.007864	7
OT_136	dep	-129.803123	1.15914975829518	NA	NA	NA	NA	-129.803123	7
OT_141	ind	-137.878611	-0.120523199239405	NA	NA	NA	NA	-137.878611	7
OT_141	dep	-148.880689	0.747889422869487	NA	NA	NA	NA	-148.880689	7
OT_146	ind	-148.268307	0.649204644249353	NA	NA	NA	NA	-148.268307	7
OT_146	dep	-158.824805	0.797602928850493	NA	NA	NA	NA	-158.824805	7
OT_147	ind	-114.340238	1.05591555679481	NA	NA	NA	NA	-114.340238	7
OT_147	dep	-120.080891	0.701022780620113	NA	NA	NA	NA	-120.080891	7
OT_150	ind	-119.62868	-0.815407824133818	NA	NA	NA	NA	-119.62868	7
OT_150	dep	-125.558683	-0.823908995376768	NA	NA	NA	NA	-125.558683	7
OT_155	ind	-115.185294	-0.727349048997083	NA	NA	NA	NA	-115.185294	7
OT_155	dep	-120.317728	-1.29386978480938	NA	NA	NA	NA	-120.317728	7
OT_156	ind	-130.28565	-0.126128855549923	NA	NA	NA	NA	-130.28565	7
OT_156	dep	-137.825457	1.61848227873051	NA	NA	NA	NA	-137.825457	7
OT_16	ind	-120.067679	0.993619058042311	NA	NA	NA	NA	-120.067679	7
OT_16	dep	-125.259585	0.857171527425409	NA	NA	NA	NA	-125.259585	7
OT_33	ind	-114.952935	-2.05270350376555	-114.729497	2.10514528702245	-115.054814	-0.606861671528299	-115.054814	9
OT_33	dep	-119.546931	1.28402386483388	NA	NA	NA	NA	-119.546931	7
OT_36	ind	-114.426533	-0.225913800890756	NA	NA	NA	NA	-114.426533	7
OT_36	dep	-119.342929	0.0325614183800051	NA	NA	NA	NA	-119.342929	7
